period_name,period_start,period_end,model_MAE,persistence_MAE,MAE_skill,model_RMSE,persistence_RMSE,MSE_skill,model_R2,persistence_R2,model_bias,n_unique_target_dates,n_valid_cells
declining_or_wave_period,2022-06-07,2022-09-19,73.56,85.61,0.141,98.94,115.9,0.271,0.54,0.37,29.35,105,11655
late_stable_period,2022-09-20,2023-02-25,28.69,27.58,-0.04,38.14,47.15,0.345,-0.09,-0.67,4.01,159,17649
overall_test_period,2022-06-07,2023-02-25,46.53,50.66,0.081,69.06,81.74,0.286,0.67,0.53,14.09,264,29304
