source_node_index,target_node_index,source_iz_code,target_iz_code,multimodal_distance_km,shortest_mode,neighbour_rank,weight
0,1,S02001842,S02001843,1.2795631928262325,walking,1,0.4341243244891243
0,32,S02001842,S02001874,1.3391820782578259,walking,2,0.417570124749411
0,2,S02001842,S02001844,2.0990205953046934,walking,3,0.2544105314495811
0,33,S02001842,S02001875,2.2297920241634026,walking,4,0.23361419512290726
0,3,S02001842,S02001845,2.502693092691173,bicycle,5,0.19552880621098562
1,2,S02001843,S02001844,1.0926967214138332,walking,1,0.4903844484237911
1,0,S02001843,S02001842,1.279563192826233,bicycle,2,0.43412432448912414
1,32,S02001843,S02001874,1.7302874837898978,bicycle,3,0.3235669957947324
1,3,S02001843,S02001845,1.741586359695998,walking,4,0.32119165638780955
1,4,S02001843,S02001846,2.294199054767343,bicycle,5,0.22400539264086367
2,1,S02001844,S02001843,1.0926967214138332,walking,1,0.4903844484237911
2,3,S02001844,S02001845,2.0217828890420257,walking,2,0.2675528758947167
2,0,S02001844,S02001842,2.0990205953046934,walking,3,0.2544105314495811
2,4,S02001844,S02001846,2.6006000450885693,walking,4,0.18343510830414297
2,32,S02001844,S02001874,2.7241732119880995,walking,5,0.1692330680136998
3,4,S02001845,S02001846,0.9247148957621366,walking,1,0.54715569663359
3,5,S02001845,S02001847,1.7403110409331493,walking,2,0.32145888861134764
3,1,S02001845,S02001843,1.741586359695998,walking,3,0.32119165638780955
3,2,S02001845,S02001844,2.021782889042026,walking,4,0.26755287589471666
3,32,S02001845,S02001874,2.2924366332838826,bicycle,5,0.22426299098107513
4,3,S02001846,S02001845,0.9247148957621365,bicycle,1,0.5471556966335901
4,5,S02001846,S02001847,1.0506208152833343,bicycle,2,0.5040261070753892
4,6,S02001846,S02001848,1.7721232529885091,walking,3,0.3148588339275062
4,7,S02001846,S02001849,2.2078006576753,road,4,0.23698857891891176
4,1,S02001846,S02001843,2.294199054767344,walking,5,0.22400539264086353
5,4,S02001847,S02001846,1.0506208152833343,walking,1,0.5040261070753892
5,7,S02001847,S02001849,1.473223042467714,road,2,0.38261993652411086
5,3,S02001847,S02001845,1.7403110409331493,walking,3,0.32145888861134764
5,16,S02001847,S02001858,2.3439116937011883,walking,4,0.21685993659881644
5,6,S02001847,S02001848,2.354593824838005,walking,5,0.21535454086866254
6,4,S02001848,S02001846,1.7721232529885087,walking,1,0.3148588339275063
6,7,S02001848,S02001849,2.001176776337024,walking,2,0.27117240533503706
6,5,S02001848,S02001847,2.3545938248380045,walking,3,0.2153545408686626
6,10,S02001848,S02001852,2.4578784341189257,walking,4,0.20132733083237628
6,3,S02001848,S02001845,2.517873015788487,walking,5,0.19360279969417912
7,5,S02001849,S02001847,1.4681028920394192,road,1,0.3838996147334259
7,10,S02001849,S02001852,1.5133752381141845,bicycle,2,0.3727314744325382
7,8,S02001849,S02001850,1.706864856572273,walking,3,0.3285471871468815
7,6,S02001849,S02001848,2.001176776337025,walking,4,0.2711724053350369
7,12,S02001849,S02001854,2.1290630587283275,walking,5,0.24947483302643897
8,9,S02001850,S02001851,1.2144474332993977,walking,1,0.45295555991364866
8,10,S02001850,S02001852,1.3672376851215768,walking,2,0.4099999215432273
8,16,S02001850,S02001858,1.5348388302343463,bicycle,3,0.3675507811976378
8,15,S02001850,S02001857,1.6059330484085002,walking,4,0.35089947048189984
8,12,S02001850,S02001854,1.6963850381822023,walking,5,0.33080018910723064
9,12,S02001851,S02001854,0.782893406522943,road,1,0.6001727547459869
9,10,S02001851,S02001852,1.1521333566737801,walking,2,0.47174097778384355
9,8,S02001851,S02001850,1.2144474332993977,walking,3,0.45295555991364866
9,15,S02001851,S02001857,1.6137855106215389,walking,4,0.34910720513104654
9,13,S02001851,S02001855,1.78561996319745,walking,5,0.3120997861667144
10,12,S02001852,S02001854,0.8761969768489487,road,1,0.5647441161324835
10,9,S02001852,S02001851,1.15213335667378,walking,2,0.4717409777838436
10,8,S02001852,S02001850,1.3672376851215773,road,3,0.4099999215432272
10,7,S02001852,S02001849,1.5133752381141845,walking,4,0.3727314744325382
10,11,S02001852,S02001853,1.838367124854414,walking,5,0.3015469325289452
11,12,S02001853,S02001854,1.3228060828797512,bicycle,1,0.4220532754154068
11,10,S02001853,S02001852,1.8383671248544144,walking,2,0.30154693252894516
11,9,S02001853,S02001851,2.047528064315195,bicycle,3,0.26309846639266254
11,8,S02001853,S02001850,2.8961904789462296,walking,4,0.15127533095875378
11,7,S02001853,S02001849,3.157196712074238,walking,5,0.1275993246572348
12,9,S02001854,S02001851,0.782893406522943,road,1,0.6001727547459869
12,10,S02001854,S02001852,0.8761969768489488,walking,2,0.5647441161324835
12,11,S02001854,S02001853,1.3228060828797508,bicycle,3,0.42205327541540694
12,8,S02001854,S02001850,1.696385038182202,bicycle,4,0.33080018910723075
12,7,S02001854,S02001849,2.129063058728326,walking,5,0.2494748330264392
13,14,S02001855,S02001856,1.2138987456048287,bicycle,1,0.4531176601810519
13,15,S02001855,S02001857,1.7408587018088226,walking,2,0.3213441036948585
13,9,S02001855,S02001851,1.78561996319745,walking,3,0.3120997861667144
13,12,S02001855,S02001854,2.4050287719828978,walking,4,0.20838685539462817
13,17,S02001855,S02001859,2.427553024958301,bicycle,5,0.20534834809216101
14,13,S02001856,S02001855,1.213898745604829,bicycle,1,0.4531176601810519
14,17,S02001856,S02001859,1.4566956093698158,bicycle,2,0.3867660453201952
14,15,S02001856,S02001857,1.5681446222386815,bicycle,3,0.35965391841855576
14,111,S02001856,S02001953,2.3744010233400075,walking,4,0.21259077964848233
14,18,S02001856,S02001860,2.4523278058132156,walking,5,0.20205738710025606
15,14,S02001857,S02001856,1.5681446222386812,bicycle,1,0.3596539184185559
15,8,S02001857,S02001850,1.6059330484085,walking,2,0.35089947048189984
15,9,S02001857,S02001851,1.6137855106215395,walking,3,0.3491072051310464
15,13,S02001857,S02001855,1.7408587018088229,bicycle,4,0.32134410369485844
15,16,S02001857,S02001858,1.837192727057014,walking,5,0.30177795896113374
16,8,S02001858,S02001850,1.534838830234346,walking,1,0.36755078119763784
16,15,S02001858,S02001857,1.837192727057014,road,2,0.30177795896113374
16,20,S02001858,S02001862,2.046542987471991,bicycle,3,0.26326753117228513
16,5,S02001858,S02001847,2.3439116937011883,walking,4,0.21685993659881644
16,9,S02001858,S02001851,2.4940446148678617,bicycle,5,0.19663466808990465
17,18,S02001859,S02001860,1.1827070304222234,bicycle,1,0.46242873596729567
