station_id,fclass,mode,snap_ok,snap_status,snap_distance_m,snap_node_index,snap_x,snap_y,Easting,Northing
10288558,railway_station,road,True,ok,15.619189607006136,5193,266403.53,660451.23,266417.51702945936,660458.1814092732
22256341,railway_station,road,True,ok,22.682192061909458,19652,253597.05,664628.5,253590.89784016792,664650.3319208072
26583488,railway_station,road,True,ok,21.323772726192416,64821,255533.21,674389.42,255551.75853049484,674399.9392822835
26583489,railway_station,road,True,ok,26.06448489841058,61626,255136.1,672099.71,255135.26883355674,672125.7612290566
26583490,railway_station,road,True,ok,24.515687268891075,61810,254333.14,671756.58,254317.79206278062,671775.6970014744
26766905,railway_station,road,True,ok,54.51553086567974,47632,256164.98,666560.48,256198.9055099999,666603.1532102942
26997547,railway_station,road,True,ok,22.744000464753803,48098,257447.6,666903.84,257465.2216916099,666918.2193442808
26997597,railway_station,road,True,ok,27.970507250601692,48345,256612.31,667082.43,256614.0536079594,667054.513891619
27423935,railway_station,road,True,ok,59.38963904477251,41390,251648.68,665111.99,251679.7741795894,665061.3907784494
27423937,railway_station,road,True,ok,48.84015852962362,41286,252683.06,664796.55,252686.8085431847,664845.2460933669
27424641,railway_station,road,True,ok,58.11160078776416,42755,260816.53,664878.13,260867.3352174832,664849.9202849607
27424649,railway_station,road,True,ok,39.190897211822225,42639,261604.26,665005.39,261608.90942355862,665044.30412706
28449296,railway_station,road,True,ok,26.8847318911228,42923,259252.32,665017.23,259228.06110029548,665005.6414455611
28449298,railway_station,road,True,ok,17.317933287177844,65664,257997.86,665300.92,258004.63139244769,665284.9807698537
28783707,railway_station,road,True,ok,24.455371974432996,11944,256989.14,662394.37,256999.40479688797,662416.5668277746
28783722,railway_station,road,True,ok,61.01735009580924,11762,256456.74,661913.43,256511.78819046123,661939.7513552018
28843197,railway_station,road,True,ok,51.73830215921598,624,258954.53,655055.22,258904.39699294115,655068.0080222691
28843455,railway_station,road,True,ok,28.61273609363117,31513,256403.74,659106.24,256378.16509996963,659119.070165829
28843468,railway_station,road,True,ok,42.38849142427094,35457,255271.26,659964.28,255230.0368029039,659954.4092236172
29078146,railway_station,road,True,ok,71.3299327233173,28462,256564.13,657944.82,256532.0020519061,658008.5048039455
29079310,railway_station,road,True,ok,39.2880784295493,35676,258430.54,660598.31,258469.5913977036,660594.004022285
29081468,railway_station,road,True,ok,29.260134248895923,29416,253662.21,657747.87,253676.1378427669,657722.1373232616
29108487,railway_station,road,True,ok,32.45277371217183,15188,256756.66,662884.63,256780.45638290787,662862.5638566551
29108492,railway_station,road,True,ok,50.08175553968265,15194,257599.42,662811.95,257554.6686967568,662834.4333960061
29152311,railway_station,road,True,ok,43.562256282706606,17107,252001.52,663488.67,252002.99864527164,663532.2071540251
29264486,railway_station,road,True,ok,34.61040204866111,28169,249875.07,663571.87,249846.75726580422,663591.7765067837
