split_name,fraction,target_start_date,target_end_date,n_unique_target_dates,n_valid_iz_date_cells,mean_infection_rate,std_infection_rate,mean_target_delta,std_target_delta
Train,0.6499051233396584,2020-03-21,2022-02-21,685,76035,262.39686197535207,406.021338767286,9.038729073643916,212.47274263245575
Validation selection,0.04933586337760911,2022-02-22,2022-04-14,52,5772,1057.0374138025015,366.09407410830204,-25.409474865917964,365.1053215221605
Validation calibration,0.05028462998102467,2022-04-15,2022-06-06,53,5883,249.8367292487489,177.56823448217534,-72.59463574377644,155.1669622504573
Test,0.2504743833017078,2022-06-07,2023-02-25,264,29304,101.2539276465451,119.85353409785661,-3.6794611561275365,81.65979642261657
