method,evaluation_type,MAE,MAE_skill,RMSE,MSE_skill,R2,bias,n_unique_target_dates,n_valid_cells
Persistence,retrospective_test_65_10_25,50.66034662260418,0.0,81.74125781669144,0.0,0.5348470666541558,3.6794611561275365,264,29304
Fixed 65/10/25 model,retrospective_test_65_10_25,51.16503424732103,-0.009962182621381155,78.08170841307994,0.08753549030067087,0.5755644567393796,26.271317866949815,264,29304
Rolling 65/10/25 model,retrospective_test_65_10_25,46.53287610222222,0.08147339675998833,69.06113093418796,0.2861865292330318,0.6679675702109668,14.088552152771667,264,29304
