method,evaluation_type,MAE,MAE_skill,RMSE,MSE_skill,R2,bias,n_unique_target_dates,n_valid_cells
Persistence,retrospective_test_65_10_25,47.97,0.0,76.15,0.0,0.42,2.08,268,36448
Rolling 65/10/25 model,retrospective_test_65_10_25,44.73,0.068,63.32,0.309,0.6,13.45,268,36448
