site_id,site_name,site_type
PH_2522,THE RED BAND CHEMICAL COMPANY LTD,pharmacy
MS_14,Car Park 1B,mobile_stop
GP_70662,Muirhouse Medical Group,gp
MS_29,Dean Park,mobile_stop
PH_2368,LLOYDS PHARMACY LTD,pharmacy
GP_70785,St Triduana's Medical Practice,gp
