input_start_date,issue_date,target_report_date,target_offset_days,iz_code,node_index,predicted_mu_z,predicted_variance_z,predicted_sigma_z,predicted_mu_original,predicted_mu_delta,y_anchor,predicted_variance_original,predicted_sigma_original,raw80_lower,raw80_upper,raw95_lower,raw95_upper,calibrated_lower,calibrated_upper,calibration_status,display_mean,display_lower,display_upper,display_interval_type,mean_clipped,lower_bound_clipped,uncertainty_flag,uncertainty_threshold,model_checkpoint,calibration_artefact,node_order_hash,observed_rate,residual,raw80_covered,raw95_covered,calibrated95_covered
2022-09-05,2022-09-11,2022-09-18,7,S02001842,0,0.15205265581607819,0.030523018911480904,0.17470838129520416,65.7200311679484,46.4781608581543,19.241870309794116,2137.02734375,46.22799301147461,6.476474191630047,124.96358814426677,-24.885170553243,156.3252328891398,-0.37970027736409406,131.8197626132609,available,65.7200311679484,0.0,131.8197626132609,calibrated_95,False,True,normal,149.2183380126953,4a1e18442400d472e5eb0066072e578cba3abbc7b3125c24d66dfec69d19a4b2,data/results/regions/S12000049/model/geo_transport_mobility/calibration.json,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,57.72561092938234,-7.9944202385660645,True,True,True
2022-09-05,2022-09-11,2022-09-18,7,S02001843,1,0.12085428833961487,0.03617294877767563,0.19019187986850739,65.41912911305909,38.223045349121094,27.19608376393799,2532.599609375,50.3249397277832,0.925125817160648,129.91313240895752,-33.215941687722164,164.05419991384034,-6.538680335183102,137.37693856130127,available,65.41912911305909,0.0,137.37693856130127,calibrated_95,False,True,normal,149.2183380126953,4a1e18442400d472e5eb0066072e578cba3abbc7b3125c24d66dfec69d19a4b2,data/results/regions/S12000049/model/geo_transport_mobility/calibration.json,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,27.19608376393799,-38.223045349121094,True,True,True
2022-09-05,2022-09-11,2022-09-18,7,S02001844,2,0.05266350507736206,0.03948161378502846,0.19869980216026306,75.59159784560103,20.179702758789062,55.41189508681197,2764.251220703125,52.57614517211914,8.212554266499467,142.9706414247026,-27.45575780625444,178.6389534974565,0.41487055067915435,150.7683251405229,available,75.59159784560103,0.41487055067915435,150.7683251405229,calibrated_95,False,False,normal,149.2183380126953,4a1e18442400d472e5eb0066072e578cba3abbc7b3125c24d66dfec69d19a4b2,data/results/regions/S12000049/model/geo_transport_mobility/calibration.json,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,55.41189508681197,-20.179702758789062,True,True,True
2022-09-05,2022-09-11,2022-09-18,7,S02001845,3,-0.16294439136981964,0.06597421318292618,0.25685444474220276,55.56534173260519,-36.870338439941406,92.4356801725466,4619.09423828125,67.96391296386719,-31.53391669024637,142.66460015545675,-77.64147589434793,188.77215935955832,-41.61379645098856,152.74447991619894,available,55.56534173260519,0.0,152.74447991619894,calibrated_95,False,True,normal,149.2183380126953,4a1e18442400d472e5eb0066072e578cba3abbc7b3125c24d66dfec69d19a4b2,data/results/regions/S12000049/model/geo_transport_mobility/calibration.json,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,77.02973347712216,21.464391744516973,True,True,True
2022-09-05,2022-09-11,2022-09-18,7,S02001846,4,0.12284335494041443,0.029457487165927887,0.1716318428516388,66.28997391953149,38.749351501464844,27.54062241806665,2062.42578125,45.4139404296875,8.089664166113522,124.49028367294946,-22.719715411523197,155.29966325058618,1.354221050879147,131.22572678818383,available,66.28997391953149,1.354221050879147,131.22572678818383,calibrated_95,False,False,normal,149.2183380126953,4a1e18442400d472e5eb0066072e578cba3abbc7b3125c24d66dfec69d19a4b2,data/results/regions/S12000049/model/geo_transport_mobility/calibration.json,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,27.54062241806665,-38.749351501464844,True,True,True
2022-09-05,2022-09-11,2022-09-18,7,S02001847,5,0.10186019539833069,0.03748298063874245,0.1936052143573761,65.53871966580371,33.19719314575195,32.34152652005175,2624.319580078125,51.228111267089844,-0.11274670382519503,131.19018603543262,-34.866538512907226,165.94397784451465,-7.710502135954101,138.78794146756152,available,65.53871966580371,0.0,138.78794146756152,calibrated_95,False,True,normal,149.2183380126953,4a1e18442400d472e5eb0066072e578cba3abbc7b3125c24d66dfec69d19a4b2,data/results/regions/S12000049/model/geo_transport_mobility/calibration.json,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,32.34152652005175,-33.19719314575196,True,True,True
2022-09-05,2022-09-11,2022-09-18,7,S02001848,6,-0.028238534927368164,0.05229472741484642,0.22868040204048157,77.40166633289215,-1.2270488739013672,78.62871520679352,3661.34375,60.509037017822266,-0.14378959972503935,154.94712226550934,-41.193868945428164,195.99720161121246,-9.118017504998477,163.92135017078277,available,77.40166633289215,0.0,163.92135017078277,calibrated_95,False,True,normal,149.2183380126953,4a1e18442400d472e5eb0066072e578cba3abbc7b3125c24d66dfec69d19a4b2,data/results/regions/S12000049/model/geo_transport_mobility/calibration.json,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,94.35445824815224,16.952791915260093,True,True,True
2022-09-05,2022-09-11,2022-09-18,7,S02001849,7,-4.333246033638716e-05,0.07982572168111801,0.2825344502925873,90.5504586113645,6.233426570892334,84.31703204047217,5588.888671875,74.75886535644531,-5.25688391793237,186.35780114066137,-55.97423010933862,237.07514733206762,-16.3445380317019,197.4454552544309,available,90.5504586113645,0.0,197.4454552544309,calibrated_95,False,True,normal,149.2183380126953,4a1e18442400d472e5eb0066072e578cba3abbc7b3125c24d66dfec69d19a4b2,data/results/regions/S12000049/model/geo_transport_mobility/calibration.json,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,67.45362563237774,-23.096832978986768,True,True,True
2022-09-05,2022-09-11,2022-09-18,7,S02001850,8,0.1240331381559372,0.0550776831805706,0.23468634486198425,70.22652671150642,39.064170837402344,31.162355874104083,3856.188720703125,62.09821701049805,-9.355542685466233,149.8085961084791,-51.48374703116936,191.93680045418222,-18.565465475993577,159.01851889900644,available,70.22652671150642,0.0,159.01851889900644,calibrated_95,False,True,normal,149.2183380126953,4a1e18442400d472e5eb0066072e578cba3abbc7b3125c24d66dfec69d19a4b2,data/results/regions/S12000049/model/geo_transport_mobility/calibration.json,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,31.162355874104083,-39.064170837402344,True,True,True
2022-09-05,2022-09-11,2022-09-18,7,S02001851,9,-0.1822008639574051,0.11088774353265762,0.332998126745224,74.77498424796337,-41.96561813354492,116.7406023815083,7763.65380859375,88.11160278320312,-38.14457904549366,187.6945475414204,-97.92058765145069,247.47055614737744,-51.21261035652881,200.76257885245556,available,74.77498424796337,0.0,200.76257885245556,calibrated_95,False,True,normal,149.2183380126953,4a1e18442400d472e5eb0066072e578cba3abbc7b3125c24d66dfec69d19a4b2,data/results/regions/S12000049/model/geo_transport_mobility/calibration.json,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,23.34812047630166,-51.426863771661715,True,True,True
