iz_code,node_index,node_order_hash,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7
S02001842,0,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,0.004633172415196896,-0.2166004627943039,-0.02392890304327011,-0.8116126656532288,1.4942353963851929,-1.7751896381378174,1.3483607769012451,0.07831454277038574
S02001843,1,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.02970106154680252,-0.38216209411621094,0.31334659457206726,-0.7078632712364197,1.3590260744094849,-1.9231772422790527,1.2615716457366943,0.22910690307617188
S02001844,2,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.13314242660999298,-0.12656252086162567,0.02053793892264366,-0.5947362184524536,1.5580772161483765,-1.8835314512252808,1.2544050216674805,0.0013032989809289575
S02001845,3,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.9356801509857178,1.1215938329696655,1.0927927494049072,-0.39398619532585144,0.42113757133483887,-1.878800868988037,0.9508011341094971,-0.22038887441158295
S02001846,4,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-1.0668632984161377,1.043448805809021,1.2276909351348877,-0.148714080452919,0.1705298274755478,-1.8634991645812988,0.9670925140380859,-0.1622558981180191
S02001847,5,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.4205525815486908,-0.04723147302865982,0.3025548458099365,-0.5908973217010498,1.180425763130188,-1.93452787399292,1.4984360933303833,0.1301881968975067
S02001848,6,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.1298535168170929,-0.5252870917320251,0.3924907445907593,-0.718524158000946,1.4526227712631226,-1.7831785678863525,1.2880624532699585,0.15830114483833313
S02001849,7,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.707323431968689,0.3157706558704376,0.6021573543548584,-0.3062271177768707,0.84222012758255,-2.0873348712921143,1.407482385635376,0.06452252715826035
S02001850,8,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.6904165744781494,-0.03050932101905346,0.46187832951545715,-0.32557106018066406,1.0220844745635986,-1.8904162645339966,1.637982964515686,-0.04461086541414261
S02001851,9,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.6222344636917114,0.11757737398147583,0.34891730546951294,-0.220912903547287,0.8614890575408936,-2.1432392597198486,1.4227060079574585,0.33751457929611206
S02001852,10,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.41433924436569214,-0.16684973239898682,0.33600232005119324,-0.49556201696395874,1.3746438026428223,-1.8432672023773193,1.4691294431686401,-0.12546932697296143
S02001853,11,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.7533920407295227,0.5787492990493774,0.32809463143348694,-0.09148916602134705,0.8288630247116089,-2.1915416717529297,1.2247633934020996,0.16459742188453674
S02001854,12,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.7103067636489868,0.277498334646225,0.3587154746055603,-0.4855613708496094,1.1823190450668335,-1.9483345746994019,1.3750351667404175,0.0620630718767643
S02001855,13,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.5875985622406006,0.18382403254508972,0.4017921984195709,-0.27516311407089233,0.9398529529571533,-2.08947491645813,1.4856963157653809,0.060909517109394073
S02001856,14,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.8032666444778442,0.20568673312664032,0.946159839630127,-0.018523965030908585,0.27808815240859985,-2.0910720825195312,1.468364953994751,0.17497210204601288
S02001857,15,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.6435603499412537,0.3453670144081116,0.2887808084487915,-0.36253082752227783,0.987963080406189,-2.083474636077881,1.39250910282135,0.17339548468589783
S02001858,16,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.6298770308494568,0.19022595882415771,0.18174251914024353,-0.41197046637535095,1.2740153074264526,-1.8508110046386719,1.5235387086868286,-0.16350123286247253
S02001859,17,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.9102746248245239,0.6376121640205383,1.2998771667480469,-0.038739778101444244,0.02323884516954422,-1.9652128219604492,1.2313041687011719,-0.08998934179544449
S02001860,18,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.2579362690448761,-0.40358561277389526,0.7863436937332153,-0.14446040987968445,0.6020326614379883,-2.151629686355591,1.4855122566223145,0.2459385246038437
S02001861,19,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.8775445222854614,-0.027503520250320435,0.8236656785011292,-0.49653369188308716,0.8863564133644104,-1.7792158126831055,1.587632179260254,0.050531189888715744
S02001862,20,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.3570716679096222,-0.6481147408485413,0.7991052269935608,-0.17550528049468994,0.901601254940033,-1.8909984827041626,1.587957739830017,-0.031705498695373535
S02001863,21,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.4176234304904938,-0.799248993396759,1.258448600769043,0.036375511437654495,0.665165364742279,-1.8996220827102661,1.34213125705719,0.03245127946138382
S02001864,22,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.36178702116012573,-0.4750898480415344,1.4911847114562988,0.48663219809532166,-0.15266136825084686,-2.1256513595581055,0.8178672790527344,0.5129320025444031
S02001865,23,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.537771463394165,-0.04321993887424469,1.775354266166687,0.5015199780464172,-0.42387402057647705,-2.0118515491485596,0.6982241272926331,0.25827106833457947
S02001866,24,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-1.1191402673721313,0.5638632774353027,1.5618847608566284,0.0356101356446743,-0.1407059282064438,-1.7278051376342773,1.1809557676315308,-0.14038582146167755
S02001867,25,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.8923047780990601,-0.4462268650531769,1.132743239402771,-0.34543079137802124,0.8522563576698303,-1.7265526056289673,1.4493496417999268,0.17080572247505188
S02001868,26,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.9764462113380432,-0.3395611047744751,1.3256224393844604,-0.08453738689422607,0.5312087535858154,-1.7980780601501465,1.4031239748001099,0.1455104500055313
S02001869,27,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.40571659803390503,-0.9596297144889832,1.2684682607650757,-0.11965540051460266,0.8416390419006348,-1.8073527812957764,1.217876672744751,0.17856194078922272
S02001870,28,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.8899286389350891,-0.4692671597003937,1.1681060791015625,-0.46328067779541016,0.9346995949745178,-1.7107408046722412,1.3125289678573608,0.3068542778491974
S02001871,29,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.9226253628730774,-0.45238983631134033,1.1709119081497192,-0.2906992733478546,0.7880642414093018,-1.7250936031341553,1.454418659210205,0.17513717710971832
S02001872,30,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.7044181227684021,-0.677400529384613,1.2154769897460938,-0.2908886671066284,0.8682242035865784,-1.771811842918396,1.3249908685684204,0.23756639659404755
S02001873,31,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.7322608232498169,0.12080210447311401,0.8923933506011963,-0.41687989234924316,0.6868547201156616,-1.9229170083999634,1.5848366022109985,-0.03897493705153465
S02001874,32,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-1.0574908256530762,0.7774296998977661,1.5666450262069702,-0.15688100457191467,-0.08602465689182281,-1.6581549644470215,1.1573152542114258,-0.3233327269554138
S02001875,33,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.7535803914070129,0.6282709240913391,0.3955311179161072,-0.5667794942855835,1.2084177732467651,-1.8117069005966187,1.3194899559020996,-0.2973206639289856
S02001876,34,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.29458075761795044,-0.8250745534896851,0.9058870673179626,-0.4543329179286957,1.1304715871810913,-1.803261160850525,1.2986239194869995,0.2239469438791275
S02001877,35,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.5322631597518921,-0.7918539643287659,1.1323806047439575,-0.3146892488002777,0.9493584632873535,-1.790018081665039,1.3085864782333374,0.23656301200389862
S02001878,36,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.6662464141845703,-0.7025553584098816,1.1398371458053589,-0.48712146282196045,1.0175176858901978,-1.7352924346923828,1.2008235454559326,0.41866472363471985
S02001879,37,3e44e848ac57c8c218038fa723aa89b2bcb84fcb5b8b900a0d4269ff60296ca3,-0.8211776614189148,-0.5289015173912048,1.1113444566726685,-0.5231955647468567,0.9717381000518799,-1.7307976484298706,1.238332748413086,0.4598914384841919
