IntZone,node_index,train_mean,train_std,effective_scale,n_unique_training_input_observations,first_training_input_date,last_training_input_date,epsilon,ddof,fitting_policy,scaling_mode,zero_or_near_zero_variance
S02001884,42,311.24636843343495,499.6743469606195,499.6743469606195,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001885,43,317.64716042997634,482.60046236642467,482.60046236642467,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001886,44,264.6649973663259,419.9481711698405,419.9481711698405,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001887,45,252.97019064597632,396.76693335338456,396.76693335338456,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001888,46,325.0780571410567,473.30991778595995,473.30991778595995,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001889,47,246.00134077265787,364.7677303771471,364.7677303771471,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001890,48,240.61865889279605,347.61339778596954,347.61339778596954,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001891,49,227.7218052942362,349.20063941361286,349.20063941361286,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001892,50,240.8373522821876,339.14791928903367,339.14791928903367,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001893,51,336.617541994121,506.1932595202637,506.1932595202637,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001894,52,313.26235890760637,426.28831973786424,426.28831973786424,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001895,53,270.866385263174,386.76057975685995,386.76057975685995,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001896,54,317.7479839445161,512.3446539863123,512.3446539863123,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001897,55,305.0189854094002,490.1447667630474,490.1447667630474,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001898,56,314.1358374662189,433.7325213838145,433.7325213838145,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001899,57,283.2903764369107,448.557106511624,448.557106511624,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001900,58,325.407705635059,497.52381789646023,497.52381789646023,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001901,59,347.8672915849636,564.6839645096125,564.6839645096125,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001902,60,288.4302460270804,450.9631234884839,450.9631234884839,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001903,61,352.27231147994274,494.95844045008783,494.95844045008783,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001904,62,315.5290279695478,453.98352293796665,453.98352293796665,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001905,63,318.75108333873743,527.4324874314395,527.4324874314395,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001906,64,369.74170512386416,513.2411171568563,513.2411171568563,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001907,65,318.9734635545718,467.5938204535175,467.5938204535175,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001908,66,342.86012004259743,460.905862257755,460.905862257755,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001909,67,293.292199196047,442.0942561288532,442.0942561288532,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001910,68,236.2444276384821,380.0866993866277,380.0866993866277,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001911,69,283.8488039879396,403.71212391732024,403.71212391732024,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001912,70,346.3276365050172,504.5661530621817,504.5661530621817,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001913,71,351.4032684658473,504.28547328123483,504.28547328123483,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001914,72,318.6194867705694,449.90630161974616,449.90630161974616,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001915,73,338.78302559610916,468.49446461775466,468.49446461775466,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001916,74,280.99055035645426,424.20502230263156,424.20502230263156,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001917,75,323.10389772933615,480.43530558874744,480.43530558874744,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001918,76,330.41861229364986,466.15374274720944,466.15374274720944,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001919,77,364.451777868611,558.0937089347698,558.0937089347698,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001920,78,292.6237976825549,404.93465815718923,404.93465815718923,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001921,79,254.1714902987909,377.902584341859,377.902584341859,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001922,80,308.2925220302735,450.35084422396136,450.35084422396136,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
