IntZone,node_index,income_rate,employment_rate,university_rate,overcrowded_rate,crime_rate,pt_gp_min,static_scaling_mode
S02001842,0,0.202991452991453,0.1274367180680826,0.1023780602175602,0.1678321678321678,0.025567323132598,7.733136064109168,none
S02001843,1,0.164038811400849,0.1079749103942652,0.1602876234081261,0.1491813220133414,0.0402138619571267,11.26658416154821,none
S02001844,2,0.0974899963623135,0.061771877539962,0.1559948173881411,0.1129501636958894,0.0105984036259361,12.59927733023827,none
S02001845,3,0.3270658090054428,0.2194373401534526,0.0478875738083457,0.2294243773709385,0.0543549096718672,8.997666657510802,none
S02001846,4,0.3507228158390949,0.2298228346456693,0.031773554054054,0.237272155876807,0.0489422606657324,7.334263668217788,none
S02001847,5,0.2248161176846818,0.1578692493946731,0.0749588356251998,0.1733290693955868,0.035344130885461,6.075439360755356,none
S02001848,6,0.0569311099882095,0.0391047712739793,0.163060233451238,0.0672056594239514,0.0118455230101516,7.479352538374433,none
S02001849,7,0.2736643188455592,0.1874187678710683,0.0734955071293592,0.1920632193781137,0.0447048526420307,7.360193607673766,none
S02001850,8,0.174959871589085,0.1199791340636411,0.0791832349919743,0.2086677367576244,0.0480596629054331,6.424663661484751,none
S02001851,9,0.2653942285844126,0.1737575974258133,0.0764033221995001,0.1938195864576232,0.0353861107562737,6.183142286874801,none
S02001852,10,0.1368741671425851,0.1073155985489721,0.0962264578336188,0.1332571863696935,0.0275427686484822,5.941800346374072,none
S02001853,11,0.244590780809031,0.1782059000602047,0.0643251145813734,0.1888993414863593,0.0253310990085762,8.476858105531514,none
S02001854,12,0.1670588235294117,0.1190053285968028,0.0561114297058823,0.1447058823529411,0.0254139421550266,4.834465185890587,none
S02001855,13,0.2292729591836734,0.1784439685938615,0.0768873727678571,0.1903698979591837,0.0676019002952067,8.114341404275988,none
S02001856,14,0.2868473231989425,0.2261434873461806,0.0341975728684732,0.2230667547918043,0.0836727648689143,4.758208273368473,none
S02001857,15,0.2475783475783475,0.1700087183958151,0.066636203988604,0.1772079772079772,0.0360674909534665,7.321925426109686,none
S02001858,16,0.1468214918323164,0.1155449672424061,0.082305378075182,0.1779177327297776,0.0286728795430951,8.505143276504624,none
S02001859,17,0.3353191489361702,0.2551319648093841,0.0521983974468085,0.226950354609929,0.0837993619599689,7.042224057827235,none
S02001860,18,0.2131400370141887,0.1670751633986928,0.0851592609500308,0.2557063541024059,0.0709700276957366,3.792950961936459,none
S02001861,19,0.1380447585394582,0.0858106037388905,0.0766462228504122,0.2096584216725559,0.0404735145833195,4.509160514108362,none
S02001862,20,0.1964042495232906,0.1403647898493259,0.1471594718060474,0.20457640969763,0.0525495918316451,8.773348150356579,none
S02001863,21,0.1487124463519313,0.0861788617886178,0.1991391652360515,0.2261802575107296,0.0297540215069829,5.881663458337338,none
S02001864,22,0.1495253164556962,0.0721311475409836,0.1165063148734177,0.4070411392405063,0.0365648049110075,3.4577576646908623,none
S02001865,23,0.2443820224719101,0.1572018585441404,0.0830813028441011,0.3811446629213483,0.0709101779655457,3.618000278965239,none
S02001866,24,0.2682596934174932,0.1953824948311509,0.0585967527051397,0.2822362488728584,0.0425812900410305,6.102640104577322,none
S02001867,25,0.1160960251869342,0.077284595300261,0.1040357316017315,0.1698150334513971,0.0363777358579405,5.543229751363833,none
S02001868,26,0.1158940397350993,0.0828767123287671,0.1008315156849076,0.2551411641686999,0.0590094898174339,4.259427882415301,none
S02001869,27,0.0591969800960878,0.0363874345549738,0.2329388447151681,0.108098833218943,0.0258597438569687,7.368149583423644,none
S02001870,28,0.0802880768204854,0.0559865092748735,0.1158273801013603,0.1624433182181915,0.0340361777793163,3.44505953509976,none
S02001871,29,0.0949656750572082,0.0627705627705627,0.1306539968535469,0.2356979405034324,0.0273026426084082,3.647569832398169,none
S02001872,30,0.0696342000881445,0.0450736781277087,0.1594635855002203,0.1214191273688849,0.016605397443633,6.816958202459453,none
S02001873,31,0.2368901048791609,0.1883665877578627,0.0769722653898768,0.2405380756953944,0.04948090414175,6.04550433079731,none
S02001874,32,0.305032925682032,0.2207747685978745,0.0744964753057384,0.2836312323612417,0.0531669522101647,7.874342884613124,none
S02001875,33,0.215301928548846,0.1400296882731321,0.0651035295605437,0.1735693961429023,0.0285887930189845,9.433500990188112,none
