issue_date,target_report_date,update_id,checkpoint_id,iz_code,node_index,observed_rate,anchor_rate_y_t,predicted_delta,predicted_rate,predicted_sigma,calibrated80_lower,calibrated80_upper,calibrated95_lower,calibrated95_upper,uncertainty_flag,persistence_prediction,model_error,model_absolute_error,persistence_absolute_error,alpha_geo,alpha_transport,alpha_mobility,node_order_hash,forecast_status,observed_target_available
2023-02-18,2023-02-25,U10,U10,S02001576,0,50.61582588155897,16.871941960519653,24.15997695922852,41.031918919748165,53.01899719238281,15.790679326770809,66.27315851272553,-2.5141922979569387,84.57803013745327,normal,16.871941960519653,-9.583906961810804,9.583906961810804,33.74388392103931,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,retrospective_evaluation,True
2023-02-18,2023-02-25,U10,U10,S02001577,1,16.07200257152041,16.07200257152041,7.062191963195801,23.13419453471621,44.90391159057617,1.756378070046356,44.512010999386064,-13.746750631748691,60.01513970118111,normal,16.07200257152041,7.062191963195801,7.062191963195801,0.0,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,retrospective_evaluation,True
2023-02-18,2023-02-25,U10,U10,S02001578,2,28.538812785388128,28.538812785388128,11.380216598510742,39.91902938389888,54.53501510620117,13.95604525752184,65.88201351027591,-4.872233348906036,84.71029211670378,normal,28.538812785388128,11.380216598510753,11.380216598510753,0.0,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,retrospective_evaluation,True
2023-02-18,2023-02-25,U10,U10,S02001579,3,23.16423442205235,23.16423442205235,13.784564971923828,36.948799393976174,48.81801986694336,13.707557552961518,60.19004123499083,-3.1469216706891103,77.04452045864146,normal,23.16423442205235,13.784564971923825,13.784564971923825,0.0,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,retrospective_evaluation,True
2023-02-18,2023-02-25,U10,U10,S02001580,4,21.017234131988232,21.017234131988232,6.881253719329834,27.898487851318063,47.40229034423828,5.33124533080705,50.46573037182908,-11.034451597048353,66.83142729968449,normal,21.017234131988232,6.88125371932983,6.88125371932983,0.0,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,retrospective_evaluation,True
2023-02-18,2023-02-25,U10,U10,S02001581,5,22.09456473707468,22.09456473707468,8.445683479309082,30.540248216383763,48.16238784790039,7.611139115591296,53.46935731717623,-9.016982376356191,70.09747880912371,normal,22.09456473707468,8.445683479309082,8.445683479309082,0.0,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,retrospective_evaluation,True
2023-02-18,2023-02-25,U10,U10,S02001582,6,28.04262478968032,28.04262478968032,24.092897415161133,52.13552220484145,57.02269744873047,24.988204361039404,79.2828400486435,5.301050477173369,98.96999393250954,high,28.04262478968032,24.09289741516113,24.09289741516113,0.0,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,retrospective_evaluation,True
2023-02-18,2023-02-25,U10,U10,S02001583,7,21.45002145002145,21.45002145002145,24.19052696228028,45.640548412301726,52.73064041137695,20.536589473109995,70.74450735149345,2.3312733688172926,88.94982345578616,normal,21.45002145002145,24.19052696228028,24.19052696228028,0.0,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,retrospective_evaluation,True
2023-02-18,2023-02-25,U10,U10,S02001584,8,26.1780104712042,26.1780104712042,16.196239471435547,42.37424994263974,55.81660461425781,15.801127761117616,68.94737212416187,-3.469621142050336,88.21812102732983,normal,26.1780104712042,16.196239471435543,16.196239471435543,0.0,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,retrospective_evaluation,True
2023-02-18,2023-02-25,U10,U10,S02001585,9,31.83699458771092,31.83699458771092,10.322936058044434,42.15993064575535,51.82728958129883,17.486038210005386,66.83382308150532,-0.4073949494501931,84.7272562409609,normal,31.83699458771092,10.322936058044434,10.322936058044434,0.0,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,retrospective_evaluation,True
2023-02-18,2023-02-25,U10,U10,S02001586,10,25.542784163473826,25.542784163473826,14.892254829406738,40.43503899288056,50.50628280639648,16.390050351524636,64.48002763423649,-1.04730365309063,81.91738163885177,normal,25.542784163473826,14.892254829406731,14.892254829406731,0.0,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,retrospective_evaluation,True
2023-02-18,2023-02-25,U10,U10,S02001587,11,49.66065220989903,16.553550736633007,37.89816284179688,54.45171357842988,46.24409866333008,32.43586197929595,76.46756517756381,16.470032102092695,92.43339505476706,normal,16.553550736633007,4.791061368530855,4.791061368530855,33.10710147326602,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,retrospective_evaluation,True
2023-02-18,2023-02-25,U10,U10,S02001588,12,21.753317380900587,21.753317380900587,21.908390045166016,43.6617074260666,48.605995178222656,20.52140612053975,66.80200873159345,3.7401286719853744,83.58328618014782,normal,21.753317380900587,21.90839004516601,21.90839004516601,0.0,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,retrospective_evaluation,True
2023-02-18,2023-02-25,U10,U10,S02001589,13,19.12411550965768,57.37234652897303,-13.557500839233398,43.814845689739634,46.54747009277344,21.654565275619667,65.9751261038596,5.583996052811273,82.045695326668,normal,57.37234652897303,24.690730180081957,24.690730180081957,38.24823101931536,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,retrospective_evaluation,True
2023-02-18,2023-02-25,U10,U10,S02001590,14,17.71793054571226,53.15379163713678,-18.9995231628418,34.15426847429498,43.9410285949707,13.23486053636303,55.07367641222693,-1.9358316698823896,70.24436861847235,normal,53.15379163713678,16.43633792858272,16.43633792858272,35.43586109142451,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,retrospective_evaluation,True
2023-02-18,2023-02-25,U10,U10,S02001591,15,25.006251562890725,25.006251562890725,-0.4724501073360443,24.53380145555468,37.20206832885742,6.822672053470967,42.2449308576384,-6.021386133127866,55.08898904423722,normal,25.006251562890725,-0.4724501073360443,0.4724501073360443,0.0,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,retrospective_evaluation,True
2023-02-18,2023-02-25,U10,U10,S02001592,16,18.570102135561743,18.570102135561743,11.913416862487791,30.483518998049536,38.619659423828125,12.0975040197036,48.86953397639547,-1.2359791727217129,62.20301716882079,normal,18.570102135561743,11.913416862487791,11.913416862487791,0.0,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,retrospective_evaluation,True
2023-02-18,2023-02-25,U10,U10,S02001593,17,19.700551615445235,19.700551615445235,4.460256576538086,24.16080819198332,40.65506362915039,4.805779691396072,43.51583669257057,-9.230429215505936,57.55204559947258,normal,19.700551615445235,4.460256576538086,4.460256576538086,0.0,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,retrospective_evaluation,True
2023-02-18,2023-02-25,U10,U10,S02001594,18,20.70822116380203,20.70822116380203,4.462493896484375,25.170715060286405,44.492923736572266,3.988561347499125,46.35286877307368,-11.372673310552216,61.71410343112503,normal,20.70822116380203,4.462493896484375,4.462493896484375,0.0,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,retrospective_evaluation,True
2023-02-18,2023-02-25,U10,U10,S02001595,19,23.00966405890474,23.00966405890474,3.7170567512512207,26.72672081015596,40.66022872924805,7.369233313058206,46.08420830725372,-6.668758850774772,60.12220047108669,normal,23.00966405890474,3.7170567512512207,3.7170567512512207,0.0,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,retrospective_evaluation,True
2023-02-18,2023-02-25,U10,U10,S02001596,20,25.4000508001016,25.4000508001016,19.19495964050293,44.595010440604526,46.2451400756836,22.57866304675319,66.61135783445586,6.612473620700484,82.57754726050857,normal,25.4000508001016,19.19495964050293,19.19495964050293,0.0,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,retrospective_evaluation,True
