iz_code,predicted_rate,predicted_sigma,calibrated95_lower,calibrated95_upper,alpha_geo,alpha_transport,alpha_mobility,forecast_status
S02001576,44.81049369772108,58.51548004150391,-3.2500455478843904,92.87103294332655,0.3181084990501404,0.3234014213085174,0.3584901392459869,unverified_extrapolation
S02001577,24.238961380419337,46.991973876953125,-14.356974441113866,62.83489720195254,0.3181084990501404,0.3234014213085174,0.3584901392459869,unverified_extrapolation
S02001578,35.68768325352778,56.48779678344727,-10.70745834803472,82.08282485509028,0.3181084990501404,0.3234014213085174,0.3584901392459869,unverified_extrapolation
S02001579,34.822963021600685,51.31792831420898,-7.326008536016502,76.97193457921787,0.3181084990501404,0.3234014213085174,0.3584901392459869,unverified_extrapolation
S02001580,34.518422410186474,48.02330780029297,-4.924578383270557,73.9614232036435,0.3181084990501404,0.3234014213085174,0.3584901392459869,unverified_extrapolation
S02001581,34.315313638441864,50.07290267944336,-6.811082540757354,75.44170981764108,0.3181084990501404,0.3234014213085174,0.3584901392459869,unverified_extrapolation
S02001582,54.50313504358657,59.58972930908203,5.56027920862563,103.4459908785475,0.3181084990501404,0.3234014213085174,0.3584901392459869,unverified_extrapolation
S02001583,46.64434785077829,54.6900749206543,1.7257267875458666,91.56296891401072,0.3181084990501404,0.3234014213085174,0.3584901392459869,unverified_extrapolation
S02001584,43.601777561047946,57.93780899047852,-3.984304897448148,91.18786001954405,0.3181084990501404,0.3234014213085174,0.3584901392459869,unverified_extrapolation
S02001585,47.68793147735936,52.83414840698242,4.293640553287091,91.08222240143162,0.3181084990501404,0.3234014213085174,0.3584901392459869,unverified_extrapolation
S02001586,41.024338194845896,51.44139862060547,-1.2260432748806664,83.27471966457246,0.3181084990501404,0.3234014213085174,0.3584901392459869,unverified_extrapolation
S02001587,40.705497790953714,54.92920303344727,-4.409522960999411,85.82051854290684,0.3181084990501404,0.3234014213085174,0.3584901392459869,unverified_extrapolation
S02001588,40.79307606315156,50.08615493774414,-0.3442034473464872,81.9303555736496,0.3181084990501404,0.3234014213085174,0.3584901392459869,unverified_extrapolation
S02001589,38.67707113709909,43.51957321166992,2.933125061659638,74.42101721253854,0.3181084990501404,0.3234014213085174,0.3584901392459869,unverified_extrapolation
S02001590,33.13789915075377,39.38182067871094,0.7924134634979083,65.48338483800963,0.3181084990501404,0.3234014213085174,0.3584901392459869,unverified_extrapolation
S02001591,27.521032561120705,37.86675262451172,-3.580081711950584,58.622146834192,0.3181084990501404,0.3234014213085174,0.3584901392459869,unverified_extrapolation
S02001592,29.18924085321311,39.11552810668945,-2.93752916631814,61.31601087274436,0.3181084990501404,0.3234014213085174,0.3584901392459869,unverified_extrapolation
S02001593,24.16129361221037,41.89471435546875,-10.248107327731034,58.57069455215178,0.3181084990501404,0.3234014213085174,0.3584901392459869,unverified_extrapolation
S02001594,26.523184981398465,45.63026809692383,-10.954338822312472,64.0007087851094,0.3181084990501404,0.3234014213085174,0.3584901392459869,unverified_extrapolation
S02001595,28.05352973959932,42.538818359375,-6.8848934171389615,62.9919528963376,0.3181084990501404,0.3234014213085174,0.3584901392459869,unverified_extrapolation
S02001596,38.34826342369779,48.3050537109375,-1.3261445352865875,78.02267138268216,0.3181084990501404,0.3234014213085174,0.3584901392459869,unverified_extrapolation
S02001597,47.40830484977913,54.649993896484375,2.52260462394905,92.2940050756092,0.3181084990501404,0.3234014213085174,0.3584901392459869,unverified_extrapolation
S02001598,25.55640919805846,56.32501983642578,-20.70503870843568,71.8178571045526,0.3181084990501404,0.3234014213085174,0.3584901392459869,unverified_extrapolation
S02001599,32.20182720626475,47.90480422973633,-7.143841586459857,71.54749599898936,0.3181084990501404,0.3234014213085174,0.3584901392459869,unverified_extrapolation
S02001600,40.47461773716124,53.50465774536133,-3.47038195766298,84.41961743198546,0.3181084990501404,0.3234014213085174,0.3584901392459869,unverified_extrapolation
S02001601,47.94423566487867,60.373802185058594,-1.642602103676019,97.53107343343336,0.3181084990501404,0.3234014213085174,0.3584901392459869,unverified_extrapolation
S02001602,49.28509636871932,55.03554153442383,4.082734308172441,94.48745842926618,0.3181084990501404,0.3234014213085174,0.3584901392459869,unverified_extrapolation
S02001603,45.86521534100329,56.60488128662109,-0.6260909639283483,92.35652164593492,0.3181084990501404,0.3234014213085174,0.3584901392459869,unverified_extrapolation
S02001604,48.13082439830782,55.913028717041016,2.207755398063682,94.05389339855196,0.3181084990501404,0.3234014213085174,0.3584901392459869,unverified_extrapolation
S02001605,50.62116128208047,59.7617416381836,1.5370281338871052,99.70529443027382,0.3181084990501404,0.3234014213085174,0.3584901392459869,unverified_extrapolation
S02001606,42.33019099385732,52.19775390625,-0.5414101108790135,85.20179209859364,0.3181084990501404,0.3234014213085174,0.3584901392459869,unverified_extrapolation
