feature_name,mean_absolute_main_effect,mean_signed_main_effect,mean_absolute_location_interaction,positive_effect_iz_fraction,negative_effect_iz_fraction,checkpoint_id,target_report_date
income_deprivation,1.3066457962622549,-0.20639577115617347,0.433163984917127,0.5,0.5,live,2023-03-04
employment_deprivation,0.27524255978293205,0.09977780178147543,0.36960751277392,0.6397058823529411,0.3602941176470588,live,2023-03-04
higher_education,0.4491670346811062,0.22283448332331154,0.3184333322094929,0.5808823529411765,0.41911764705882354,live,2023-03-04
overcrowding,0.4982608314739238,0.2944302048252416,0.3904606187293507,0.6323529411764706,0.36764705882352944,live,2023-03-04
crime,0.15344572234220566,0.08425349681651224,0.15357525309427783,0.625,0.375,live,2023-03-04
public_transport_time_to_gp,0.3457190253570979,0.24736237772205694,0.3878086604157086,0.7058823529411765,0.29411764705882354,live,2023-03-04
location,0.5263719815416517,0.20387656652793903,,0.5882352941176471,0.4117647058823529,live,2023-03-04
