method,evaluation_type,MAE,MAE_skill,RMSE,MSE_skill,R2,bias,n_unique_target_dates,n_valid_cells
Persistence,retrospective_test_65_10_25,47.96907233754728,0.0,76.15038353537594,0.0,0.41801238995622136,2.0846976217616127,268,36448
Rolling 65/10/25 model,retrospective_test_65_10_25,44.72907168971381,0.06754353357167997,63.31709595461751,0.30865028950228934,0.597643034282979,13.447324522593037,268,36448
