interval_type,nominal_coverage,observed_coverage,mean_interval_width,median_interval_width,n_valid_cells,calibration_status
raw_80,0.8,0.9280070237050044,195.95393470704994,159.94315377423803,36448,raw_gaussian
calibrated_80,0.8,0.8219106672519754,146.02541620630382,110.26510437104999,36448,available
raw_95,0.95,0.9821663740122915,299.68568178295624,244.61194492985214,36448,raw_gaussian
calibrated_95,0.95,0.9516845917471466,223.27656771591987,178.09048591196816,36448,available
