graph_name,prediction_weighted_mean_alpha,between_update_standard_deviation,minimum_alpha,maximum_alpha
geographic,0.29454489207979456,0.034174587010491385,0.2266021072864532,0.3425042033195495
transport,0.32492047414850833,0.02188132108686117,0.278589516878128,0.3506481647491455
mobility,0.3805346333268863,0.054897796757965044,0.3111658096313476,0.4948084354400635
