split_name,fraction,target_start_date,target_end_date,n_unique_target_dates,n_valid_iz_date_cells,mean_infection_rate,std_infection_rate,mean_target_delta,std_target_delta
Train,0.6495327102803738,2020-03-23,2022-02-15,695,94520,289.9175151509048,430.03011901520034,7.771961621254607,258.8397928910199
Validation selection,0.04953271028037383,2022-02-16,2022-04-09,53,7208,1000.635831587143,339.19220002008717,-9.604596071608498,329.2659388599618
Validation calibration,0.05046728971962617,2022-04-10,2022-06-02,54,7344,248.47248228222907,192.8004141905505,-79.1538299640865,150.2908518689142
Test,0.2504672897196262,2022-06-03,2023-02-25,268,36448,91.00031019277891,99.82083152976529,-2.0846976217616127,76.12288705539288
