site_id,site_name,site_type
MS_5,Jamaica Street,mobile_stop
PH_1621,BESTWAY NATIONAL CHEMISTS LTD,pharmacy
PH_1392,MR ABDUL QAYUM,pharmacy
PH_1066,BOOTS UK LIMITED,pharmacy
PH_1508,L ROWLAND & CO RETAIL LTD,pharmacy
PH_1540,J GILBRIDE,pharmacy
