site_id,site_name,site_type
MS_14,Oswald Street Car Park,mobile_stop
PH_1703,P & C PATERSON LTD,pharmacy
GP_52024,Thurston Road Medical Practice,gp
PH_1721,J & P INNES LTD,pharmacy
PH_1502,LLOYDS PHARMACY LTD,pharmacy
PH_1621,BESTWAY NATIONAL CHEMISTS LTD,pharmacy
