site_id,site_name,site_type
PH_2026,BOOTS UK LTD,pharmacy
PH_2516,MBM SHELFCO (57) LTD,pharmacy
MS_31,Public Car Park,mobile_stop
PH_2531,BARRIE DEAR LTD,pharmacy
PH_2368,LLOYDS PHARMACY LTD,pharmacy
PH_2361,LLOYDS PHARMACY LTD,pharmacy
