input_start_date,issue_date,target_report_date,iz_code,node_index,player_name,component,phi,phi_0,reconstructed_prediction,additivity_error,explanation_scope,n_coalitions,node_order_hash,label,forecast_status,observed_target_available,include_in_test_metrics,u10_checkpoint_id
2023-02-19,2023-02-25,2023-03-04,S02001577,1,employment_deprivation,main,-0.7098169508434516,27.43360440104922,24.238970917162504,3.552713678800501e-15,target_iz_local,128,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,,unverified_extrapolation,False,False,79d4d6c0cb55599546517aef60598e330b7dd07f31538b6995d964aeedaa5c64
2023-02-19,2023-02-25,2023-03-04,S02001577,1,higher_education,main,0.10228908629644451,27.43360440104922,24.238970917162504,3.552713678800501e-15,target_iz_local,128,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,,unverified_extrapolation,False,False,79d4d6c0cb55599546517aef60598e330b7dd07f31538b6995d964aeedaa5c64
2023-02-19,2023-02-25,2023-03-04,S02001577,1,overcrowding,main,-0.16715226400466246,27.43360440104922,24.238970917162504,3.552713678800501e-15,target_iz_local,128,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,,unverified_extrapolation,False,False,79d4d6c0cb55599546517aef60598e330b7dd07f31538b6995d964aeedaa5c64
2023-02-19,2023-02-25,2023-03-04,S02001577,1,crime,main,-0.42077514557611273,27.43360440104922,24.238970917162504,3.552713678800501e-15,target_iz_local,128,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,,unverified_extrapolation,False,False,79d4d6c0cb55599546517aef60598e330b7dd07f31538b6995d964aeedaa5c64
2023-02-19,2023-02-25,2023-03-04,S02001577,1,public_transport_time_to_gp,main,1.0293690817696772,27.43360440104922,24.238970917162504,3.552713678800501e-15,target_iz_local,128,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,,unverified_extrapolation,False,False,79d4d6c0cb55599546517aef60598e330b7dd07f31538b6995d964aeedaa5c64
2023-02-19,2023-02-25,2023-03-04,S02001577,1,location,location,-2.1715023267836897,27.43360440104922,24.238970917162504,3.552713678800501e-15,target_iz_local,128,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,Residual spatial/location contribution conditional on the fixed graph structure.,unverified_extrapolation,False,False,79d4d6c0cb55599546517aef60598e330b7dd07f31538b6995d964aeedaa5c64
2023-02-19,2023-02-25,2023-03-04,S02001577,1,location_x_income_deprivation,interaction,-0.9330933934166274,27.43360440104922,24.238970917162504,3.552713678800501e-15,target_iz_local,128,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,"Location–feature interaction for the named original variable, conditional on the fixed graph structure.",unverified_extrapolation,False,False,79d4d6c0cb55599546517aef60598e330b7dd07f31538b6995d964aeedaa5c64
2023-02-19,2023-02-25,2023-03-04,S02001577,1,location_x_employment_deprivation,interaction,-0.10996319907051547,27.43360440104922,24.238970917162504,3.552713678800501e-15,target_iz_local,128,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,"Location–feature interaction for the named original variable, conditional on the fixed graph structure.",unverified_extrapolation,False,False,79d4d6c0cb55599546517aef60598e330b7dd07f31538b6995d964aeedaa5c64
2023-02-19,2023-02-25,2023-03-04,S02001577,1,location_x_higher_education,interaction,0.06947952452160408,27.43360440104922,24.238970917162504,3.552713678800501e-15,target_iz_local,128,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,"Location–feature interaction for the named original variable, conditional on the fixed graph structure.",unverified_extrapolation,False,False,79d4d6c0cb55599546517aef60598e330b7dd07f31538b6995d964aeedaa5c64
2023-02-19,2023-02-25,2023-03-04,S02001577,1,location_x_overcrowding,interaction,-1.151797728311446,27.43360440104922,24.238970917162504,3.552713678800501e-15,target_iz_local,128,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,"Location–feature interaction for the named original variable, conditional on the fixed graph structure.",unverified_extrapolation,False,False,79d4d6c0cb55599546517aef60598e330b7dd07f31538b6995d964aeedaa5c64
