site_id,site_name,site_type,easting,northing,iz_code,iz_easting,iz_northing,suitability,coord_source,PracticeCode,GPPracticeName,PracticeListSize,AddressLine1,AddressLine2,AddressLine3,AddressLine4,Postcode,TelephoneNumber,PracticeType,Dispensing,HB,HSCP,DataZone_x,GPCluster,DataZone_y,IntZone,pc_easting,pc_northing,DispCode,DispLocationName,DispLocationAddress1,DispLocationAddress2,DispLocationAddress3,DispLocationAddress4,DispLocationPostcode,DispLocationTelNo,hb2019,hscp2019,datazone2011,datazone2001,DataZone,capacity,parking,fee,access,operator,surface,park_and_ride
GP_70291,Inchpark Surgery,gp,327627.0,670399.0,S02001608,327821.0,670277.0,confirmed,Postcode_centroid,70291.0,Inchpark Surgery,5811.0,Inchpark Surgery,10 Marmion Crescent,Edinburgh,,EH16 5QU,0131 666  2121,17J,N,S08000024,S37000012,S01008583,Edinburgh South East - South,S01008583,S02001608,327627.0,670399.0,,,,,,,,,,,,,,,,,,,,
GP_70319,West End Medical Practice,gp,324121.75,673577.61,S02001660,324025.0,673464.0,confirmed,OSM_exact_building,70319.0,West End Medical Practice,11511.0,West End Medical Practice,36 Manor Place,Edinburgh,,EH3 7EB,0131 225  5220,17C,N,S08000024,S37000012,S01008868,Edinburgh North West - Bridge,S01008868,S02001660,324159.0,673597.0,,,,,,,,,,,,,,,,,,,,
GP_70323,Bruntsfield Medical Practice,gp,324689.52,672063.23,S02001616,324318.0,671916.0,confirmed,OSM_exact_building,70323.0,Bruntsfield Medical Practice,12214.0,Bruntsfield Medical Practice,11 Forbes Road,Edinburgh,,EH10 4EY,0131 228  6081,17J,N,S08000024,S37000012,S01008637,Edinburgh South East - North,S01008637,S02001616,324690.0,672061.0,,,,,,,,,,,,,,,,,,,,
GP_70361,Ladywell Medical Centre (East),gp,319623.18,672722.21,S02001679,319696.0,672825.0,confirmed,OSM_exact_building,70361.0,Ladywell Medical Centre (East),10839.0,Ladywell Medical Centre (East),26 Featherhall Avenue,Edinburgh,,EH12 7UN,0131 334  5000,17J,N,S08000024,S37000012,S01008975,Edinburgh North West - Tower,S01008975,S02001679,319638.0,672717.0,,,,,,,,,,,,,,,,,,,,
GP_70376,Liberton Medical Group,gp,327390.0,669075.0,S02001607,327238.0,669593.0,confirmed,Postcode_centroid,70376.0,Liberton Medical Group,8129.0,Liberton Medical Group,65 Liberton Gardens,Edinburgh,,EH16 6JT,0131 664  3050,17J,N,S08000024,S37000012,S01008577,Edinburgh South East - South,S01008577,S02001607,327390.0,669075.0,,,,,,,,,,,,,,,,,,,,
GP_70381,Mackenzie Medical Centre,gp,326177.29,673141.1,S02001623,326328.0,673326.0,confirmed,OSM_exact_building,70381.0,Mackenzie Medical Centre,8590.0,Mackenzie Medical Centre,20 West Richmond Street,Edinburgh,,EH8 9DX,0131 651  1000,17J,N,S08000024,S37000012,S01008681,Edinburgh South East - South,S01008681,S02001623,326158.0,673122.0,,,,,,,,,,,,,,,,,,,,
GP_70408,Dr Thyne & Partners,gp,324691.0,674456.0,S02001658,324545.0,674546.0,confirmed,Postcode_centroid,70408.0,Dr Thyne & Partners,9410.0,Dr Thyne & Partners,Stockbridge Health Centre,1 India Place,Edinburgh,EH3 6EH,0131 225  9191,17C,N,S08000024,S37000012,S01008860,Edinburgh North West - Bridge,S01008860,S02001658,324691.0,674456.0,,,,,,,,,,,,,,,,,,,,
GP_70412,Grange Medical Group,gp,325565.74,671989.27,S02001612,326243.0,671775.0,confirmed,OSM_exact_building,70412.0,Grange Medical Group,7786.0,Grange Medical Group,1 Beaufort Road,Edinburgh,,EH9 1AG,0131 447  1646,17J,N,S08000024,S37000012,S01008610,Edinburgh South East - North,S01008610,S02001612,325547.0,671981.0,,,,,,,,,,,,,,,,,,,,
GP_70427,Milton Surgery,gp,330361.63,672490.56,S02001629,330649.0,672595.0,confirmed,OSM_exact_building,70427.0,Milton Surgery,7635.0,Milton Surgery,132 Mountcastle Drive South,Edinburgh,,EH15 3LL,0131 549  7300,17C,N,S08000024,S37000012,S01008712,Edinburgh North East - East,S01008712,S02001629,330355.0,672484.0,,,,,,,,,,,,,,,,,,,,
GP_70451,Meadows Medical Practice,gp,325100.83,672804.84,S02001621,326258.0,672722.0,confirmed,OSM_exact_building,70451.0,Meadows Medical Practice,5687.0,Meadows Medical Practice,9 Brougham Place,Edinburgh,,EH3 9HW,0131 229  7709,17J,N,S08000024,S37000012,S01008666,Edinburgh South East - North,S01008666,S02001621,325091.0,672823.0,,,,,,,,,,,,,,,,,,,,
GP_70470,Dalkeith Road Medical Practice,gp,326578.11,672660.23,S02001611,326584.0,672398.0,confirmed,OSM_exact_building,70470.0,Dalkeith Road Medical Practice,3813.0,Dalkeith Road Medical Practice,Salisbury Court,102 St Leonards Street,Edinburgh,EH8 9RD,0131 667  1289,17J,N,S08000024,S37000012,S01008603,Edinburgh South East - South,S01008603,S02001611,326597.0,672635.0,,,,,,,,,,,,,,,,,,,,
GP_70499,Annandale Medical Practice,gp,326187.0,674834.0,S02001655,325882.0,674691.0,confirmed,Postcode_centroid,70499.0,Annandale Medical Practice,8316.0,Annandale Medical Practice,Bellevue Medical Centre,26 Huntingdon Place,Edinburgh,EH7 4AT,0131 556  8196,17J,N,S08000024,S37000012,S01008845,Edinburgh North East - Leith,S01008845,S02001655,326187.0,674834.0,,,,,,,,,,,,,,,,,,,,
GP_70501,Murrayfield Medical Practice,gp,322448.58,673150.31,S02001661,321844.0,672727.0,confirmed,OSM_exact_building,70501.0,Murrayfield Medical Practice,7488.0,Murrayfield Medical Practice,13b Riversdale Crescent,Edinburgh,,EH12 5QX,0131 337  6151,17C,N,S08000024,S37000012,S01008876,Edinburgh North West - Tower,S01008876,S02001661,322275.0,672977.0,,,,,,,,,,,,,,,,,,,,
GP_70516,Gracemount Medical Practice,gp,327771.0,668463.0,S02001602,327534.0,668483.0,confirmed,Postcode_centroid,70516.0,Gracemount Medical Practice,8649.0,Gracemount Medical Practice,24 Gracemount Drive,Edinburgh,,EH16 6RN,0131 664  2377,17J,N,S08000024,S37000012,S01008557,Edinburgh South East - South,S01008557,S02001602,327771.0,668463.0,,,,,,,,,,,,,,,,,,,,
