site_id,site_name,site_type,easting,northing,iz_code,iz_easting,iz_northing,suitability,coord_source,capacity,parking,fee,access,operator,surface,park_and_ride
MS_1,Metred on-street Parking,mobile_stop,325042.66,672253.4,S02001614,325258.0,672241.0,provisional,OSM_overpass_parking,,surface,yes,yes,CEC,,
MS_2,Metred on-street Parking,mobile_stop,324936.08,672120.58,S02001614,325258.0,672241.0,provisional,OSM_overpass_parking,,surface,yes,yes,CEC,,
MS_3,Castle Terrace,mobile_stop,324950.76,673418.12,S02001620,324934.0,673093.0,provisional,OSM_overpass_parking,750,multi-storey,yes,yes,National Car Parks,,
MS_4,Newcraighall Park and Ride,mobile_stop,331831.52,671719.09,S02001630,330866.0,672281.0,provisional,OSM_overpass_parking,,surface,yes,,Scotrail,,
MS_5,Hermiston Park and Ride,mobile_stop,317953.46,670060.04,S02001583,319181.0,670347.0,provisional,OSM_overpass_parking,,surface,no,yes,,,
MS_6,Red Car Park,mobile_stop,326494.01,676971.54,S02001641,326119.0,676799.0,provisional,OSM_overpass_parking,,multi-storey,no,yes,,,
MS_7,Golf Course Parking,mobile_stop,321285.46,672995.7,S02001661,321844.0,672727.0,provisional,OSM_overpass_parking,,,,,,,
MS_8,Car Park 2B,mobile_stop,329263.64,670521.78,S02001605,328884.0,669616.0,provisional,OSM_overpass_parking,,surface,yes,,,asphalt,
MS_9,Car Park 1G,mobile_stop,329040.74,670622.72,S02001627,328642.0,671511.0,provisional,OSM_overpass_parking,,,yes,,,,
MS_10,Car Park J,mobile_stop,317346.49,669102.35,S02001577,317812.0,667813.0,provisional,OSM_overpass_parking,329,surface,no,yes,,,
MS_11,Ingliston Park and Ride,mobile_stop,315370.34,672616.69,S02001683,313991.0,670834.0,provisional,OSM_overpass_parking,,surface,,,,,
MS_12,Sainsbury's,mobile_stop,322616.4,672406.63,S02001590,322932.0,672304.0,provisional,OSM_overpass_parking,,surface,,permissive,,,
MS_13,Broad Pavement,mobile_stop,326981.29,673729.5,S02001624,327127.0,674111.0,provisional,OSM_overpass_parking,,surface,no,yes,,asphalt,
MS_14,Car Park 1B,mobile_stop,328772.46,670375.5,S02001605,328884.0,669616.0,provisional,OSM_overpass_parking,,surface,yes,,,,
MS_15,Car Park H,mobile_stop,317393.24,668869.05,S02001577,317812.0,667813.0,provisional,OSM_overpass_parking,267,,no,yes,,,
MS_16,Car Park B,mobile_stop,317924.75,669413.07,S02001578,318655.0,668420.0,provisional,OSM_overpass_parking,,surface,no,yes,,,
MS_17,Car Park A,mobile_stop,317918.04,669543.91,S02001578,318655.0,668420.0,provisional,OSM_overpass_parking,208,surface,no,yes,,asphalt,
MS_18,Lochend Close,mobile_stop,326522.06,673853.2,S02001623,326328.0,673326.0,provisional,OSM_overpass_parking,,surface,,permissive,,,
MS_19,Car Park 6b,mobile_stop,323042.08,674907.9,S02001663,322985.0,674845.0,provisional,OSM_overpass_parking,,,,,,,
MS_20,New Street Car Park (for Waverley Station),mobile_stop,326024.76,673839.12,S02001622,325891.0,673440.0,provisional,OSM_overpass_parking,,surface,yes,yes,,,
MS_21,Allander and Inchkeith House,mobile_stop,326880.36,675616.49,S02001644,327040.0,675405.0,provisional,OSM_overpass_parking,,surface,,,,,
MS_22,Dunsapie Loch car park,mobile_stop,328094.0,673014.36,S02001626,328447.0,673804.0,provisional,OSM_overpass_parking,,surface,no,yes,,,
MS_23,Public Car Park,mobile_stop,312169.4,672095.19,S02001683,313991.0,670834.0,provisional,OSM_overpass_parking,54,surface,,,,,
MS_24,Eastfield Road Long Stay,mobile_stop,315103.57,672681.98,S02001683,313991.0,670834.0,provisional,OSM_overpass_parking,,surface,yes,,NCP Scotpark,,
