site_id,site_name,site_type,easting,northing,iz_code,iz_easting,iz_northing,suitability,coord_source,capacity,parking,fee,access,operator,surface,park_and_ride
MS_25,Leonardo Hotel,mobile_stop,324314.92,673156.42,S02001660,324025.0,673464.0,provisional,OSM_overpass_parking,,surface,,destination,,,
MS_26,Public Car Park,mobile_stop,325581.04,677176.2,S02001650,325821.0,676691.0,provisional,OSM_overpass_parking,56,surface,,,,,
MS_27,St Leonard's,mobile_stop,326560.28,672725.92,S02001621,326258.0,672722.0,provisional,OSM_overpass_parking,,surface,yes,yes,,,
MS_28,Great Michael Square,mobile_stop,325586.96,677047.02,S02001650,325821.0,676691.0,provisional,OSM_overpass_parking,,,,,,,
MS_29,Dean Park,mobile_stop,316298.87,666437.99,S02001576,316116.0,666116.0,provisional,OSM_overpass_parking,,surface,no,,,asphalt,
MS_30,Public Car Park,mobile_stop,322582.03,670141.5,S02001593,322641.0,670581.0,provisional,OSM_overpass_parking,30,surface,,,,,
MS_31,Public Car Park,mobile_stop,328509.82,672634.64,S02001627,328642.0,671511.0,provisional,OSM_overpass_parking,44,surface,,,,,
MS_32,Blackfriars Street,mobile_stop,326004.51,673566.19,S02001622,325891.0,673440.0,provisional,OSM_overpass_parking,,multi-storey,yes,,,,
MS_33,PremiAir Carpark 2,mobile_stop,315181.08,672568.71,S02001683,313991.0,670834.0,provisional,OSM_overpass_parking,,surface,yes,,,,
MS_34,Car Park 2A,mobile_stop,329277.04,670355.07,S02001605,328884.0,669616.0,provisional,OSM_overpass_parking,,surface,yes,,NHS Lothian,asphalt,
MS_35,Ingliston Showground,mobile_stop,314194.41,673251.3,S02001684,312387.0,674380.0,provisional,OSM_overpass_parking,,,,,,ground,
MS_36,Car Park 4d,mobile_stop,323252.11,674916.82,S02001663,322985.0,674845.0,provisional,OSM_overpass_parking,,,,,,,
MS_37,Car Park 4b,mobile_stop,323159.15,674913.78,S02001663,322985.0,674845.0,provisional,OSM_overpass_parking,,street_side,,,,,
MS_38,Disabled,mobile_stop,317581.75,672788.36,S02001677,318721.0,673372.0,provisional,OSM_overpass_parking,3,surface,no,yes,Scotrail,,
MS_39,Drop Off/Pick Up,mobile_stop,317526.14,672772.53,S02001677,318721.0,673372.0,provisional,OSM_overpass_parking,8,surface,no,yes,Scotrail,,
MS_40,Public Car Park,mobile_stop,323889.03,671097.92,S02001594,323836.0,670635.0,provisional,OSM_overpass_parking,35,surface,no,yes,,paved,
MS_41,Ingliston Park and Ride,mobile_stop,315329.34,672544.72,S02001683,313991.0,670834.0,provisional,OSM_overpass_parking,,surface,no,yes,,,
MS_42,Visitor Car Park I,mobile_stop,317100.55,669501.63,S02001577,317812.0,667813.0,provisional,OSM_overpass_parking,233,surface,no,yes,,,
MS_43,Holyrood Road,mobile_stop,326300.86,673516.15,S02001623,326328.0,673326.0,provisional,OSM_overpass_parking,297,multi-storey,yes,yes,National Car Parks,,
MS_44,Yard,mobile_stop,314527.48,669142.66,S02001683,313991.0,670834.0,provisional,OSM_overpass_parking,,,,,,,
MS_45,Car Park 1D,mobile_stop,328901.44,670394.39,S02001605,328884.0,669616.0,provisional,OSM_overpass_parking,,surface,yes,,,,
MS_46,Car Park 1A,mobile_stop,328859.3,670345.15,S02001605,328884.0,669616.0,provisional,OSM_overpass_parking,,surface,yes,,,,
MS_47,Public Car Park,mobile_stop,317822.01,671562.62,S02001682,319070.0,672115.0,provisional,OSM_overpass_parking,480,multi-storey,yes,yes,APCOA Parking (UK),,
MS_48,PremiAir Carpark 1,mobile_stop,315019.11,672534.45,S02001683,313991.0,670834.0,provisional,OSM_overpass_parking,,surface,yes,,,,
MS_49,Disabled Parking,mobile_stop,323437.47,673799.34,S02001660,324025.0,673464.0,provisional,OSM_overpass_parking,4,street_side,,,,,
MS_50,Disabled Parking,mobile_stop,322959.47,675091.16,S02001663,322985.0,674845.0,provisional,OSM_overpass_parking,,,,,,,
MS_51,Tower Wynd,mobile_stop,327228.24,676596.58,S02001642,327145.0,676440.0,provisional,OSM_overpass_parking,,surface,,,,asphalt,
MS_52,Edinburgh Zoo Car Park,mobile_stop,320911.17,673011.42,S02001680,320738.0,672090.0,provisional,OSM_overpass_parking,,surface,,permissive,,,
