site_id,site_name,site_type,easting,northing,iz_code,iz_easting,iz_northing,suitability,coord_source,DispCode,DispLocationName,DispLocationAddress1,DispLocationAddress2,DispLocationAddress3,DispLocationAddress4,DispLocationPostcode,DispLocationTelNo,hb2019,hscp2019,datazone2011,datazone2001,DataZone,IntZone,pc_easting,pc_northing
PH_2268,THE RED BAND CHEM COMPANY LTD,pharmacy,319780.0,668604.0,S02001579,319584.0,669262.0,confirmed,Postcode_centroid,2268,THE RED BAND CHEM COMPANY LTD,536 LANARK ROAD,EDINBURGH,NA,NA,EH145DJ,0131 4533130,S08000024,S37000012,S01008437,S01001829,S01008437,S02001579,319780.0,668604.0
PH_2304,LLOYDS PHARMACY LTD,pharmacy,326974.0,675936.0,S02001643,326919.0,676120.0,confirmed,Postcode_centroid,2304,LLOYDS PHARMACY LTD,3/5 DUKE STREET,LEITH,EDINBURGH,NA,EH6 6AE,0131 5547511,S08000024,S37000012,S01008785,S01002285,S01008785,S02001643,326974.0,675936.0
PH_2320,BOOTS UK LTD,pharmacy,318010.46,672563.89,S02001682,319070.0,672115.0,confirmed,OSM_exact_building,2320,BOOTS UK LTD,GYLE SHOPPING CENTRE,UNIT 10,EDINBURGH,NA,EH129JS,0131 3171288,S08000024,S37000012,S01008992,S01001954,S01008992,S02001682,317991.0,672491.0
PH_2332,BOOTS UK LTD,pharmacy,326443.71,672317.3,S02001621,326258.0,672722.0,confirmed,OSM_exact_building,2332,BOOTS UK LTD,28/30 NEWINGTON ROAD,EDINBURGH,NA,NA,EH9 1QS,0131 6673008,S08000024,S37000012,S01008668,S01002027,S01008668,S02001621,326425.0,672350.0
PH_2335,BOOTS UK LTD,pharmacy,324489.12,669024.84,S02001598,323953.0,668490.0,confirmed,OSM_exact_building,2335,BOOTS UK LTD,10A BUCKSTONE TERRACE,EDINBURGH,NA,NA,EH106PZ,0131 4451157,S08000024,S37000012,S01008539,S01001837,S01008539,S02001598,324482.0,669041.0
PH_2338,TESCO STORES LTD,pharmacy,325426.2,675087.6,S02001653,325703.0,675325.0,confirmed,OSM_exact_building,2338,TESCO STORES LTD,7 BROUGHTON ROAD,EDINBURGH,NA,NA,EH7 4EW,0131 289 0017,S08000024,S37000012,S01008838,S01002235,S01008838,S02001653,325357.0,675059.0
PH_2339,BOOTS UK LTD,pharmacy,324541.83,671229.26,S02001615,324829.0,671189.0,confirmed,OSM_exact_building,2339,BOOTS UK LTD,207-209 MORNINGSIDE ROAD,EDINBURGH,NA,NA,EH104QT,0131 4476188,S08000024,S37000012,S01008630,S01001939,S01008630,S02001615,324550.0,671212.0
PH_2343,BOOTS UK LTD,pharmacy,326193.49,672926.42,S02001621,326258.0,672722.0,confirmed,OSM_exact_building,2343,BOOTS UK LTD,6 ST PATRICK STREET,EDINBURGH,NA,NA,EH8 9HB,0131 667 1698,S08000024,S37000012,S01008673,S01002066,S01008673,S02001621,326196.0,672919.0
PH_2344,THE RED BAND CHEMICAL COMPANY LTD,pharmacy,324483.0,670851.0,S02001594,323836.0,670635.0,confirmed,Postcode_centroid,2344,THE RED BAND CHEMICAL COMPANY LTD,18/20 COMISTON ROAD,EDINBURGH,NA,NA,EH105QE,0131 447 2336,S08000024,S37000012,S01008517,S01001916,S01008517,S02001594,324483.0,670851.0
PH_2358,LLOYDS PHARMACY LTD,pharmacy,324686.0,672179.0,S02001616,324318.0,671916.0,confirmed,Postcode_centroid,2358,LLOYDS PHARMACY LTD,129 BRUNTSFIELD PLACE,EDINBURGH,NA,NA,EH104EQ,0131 2283725,S08000024,S37000012,S01008637,S01001979,S01008637,S02001616,324686.0,672179.0
