source_node_index,target_node_index,source_iz_code,target_iz_code,weight,shared_boundary_length_m
34,51,S02001610,S02001627,1,2305.5643743043843
35,36,S02001611,S02001612,1,933.8979780974198
35,45,S02001611,S02001621,1,1232.6915420109267
35,47,S02001611,S02001623,1,1333.3228424864476
36,37,S02001612,S02001613,1,1632.4895914102556
36,38,S02001612,S02001614,1,387.13577130696933
36,39,S02001612,S02001615,1,2279.7166575228594
36,45,S02001612,S02001621,1,251.51838321404472
37,38,S02001613,S02001614,1,590.753960996657
37,45,S02001613,S02001621,1,1416.6104376158885
38,39,S02001614,S02001615,1,481.7772134696827
38,40,S02001614,S02001616,1,686.8306265353864
38,45,S02001614,S02001621,1,567.8064206749439
39,40,S02001615,S02001616,1,2396.747837589481
40,41,S02001616,S02001617,1,2034.855206452575
40,42,S02001616,S02001618,1,703.4824605425931
40,45,S02001616,S02001621,1,176.72024571418604
41,42,S02001617,S02001618,1,364.3868827561072
41,43,S02001617,S02001619,1,716.8987214699721
41,44,S02001617,S02001620,1,972.1998373295744
41,45,S02001617,S02001621,1,149.24353858875267
42,43,S02001618,S02001619,1,528.7359753982457
43,44,S02001619,S02001620,1,1562.8555224499712
43,84,S02001619,S02001660,1,533.6516282335076
44,45,S02001620,S02001621,1,1439.8907702664042
44,46,S02001620,S02001622,1,992.1008898275674
44,84,S02001620,S02001660,1,931.4671760434214
45,46,S02001621,S02001622,1,965.3101678683191
45,47,S02001621,S02001623,1,923.4148889229832
46,47,S02001622,S02001623,1,1630.7896772977838
46,71,S02001622,S02001647,1,1013.7709850903841
46,79,S02001622,S02001655,1,1246.055516953244
46,80,S02001622,S02001656,1,1031.8099931348636
46,84,S02001622,S02001660,1,660.2914416877453
47,48,S02001623,S02001624,1,1852.5151231793325
47,50,S02001623,S02001626,1,2805.083829182072
47,71,S02001623,S02001647,1,252.37287534140418
48,49,S02001624,S02001625,1,1000.0213318688873
48,71,S02001624,S02001647,1,1081.3915231601386
49,50,S02001625,S02001626,1,613.8482271818409
49,59,S02001625,S02001635,1,435.3295528232316
49,61,S02001625,S02001637,1,418.46575410142253
49,62,S02001625,S02001638,1,830.2188648231199
49,69,S02001625,S02001645,1,889.2237997998595
49,71,S02001625,S02001647,1,674.3410533693763
50,51,S02001626,S02001627,1,1131.3025195308085
50,53,S02001626,S02001629,1,309.7725121679897
50,57,S02001626,S02001633,1,938.6950328163433
50,59,S02001626,S02001635,1,2295.096688195996
51,52,S02001627,S02001628,1,3643.6279842480913
51,53,S02001627,S02001629,1,85.92004917320317
51,54,S02001627,S02001630,1,892.5661526649678
52,53,S02001628,S02001629,1,831.1007026780611
52,54,S02001628,S02001630,1,622.8175736635035
53,54,S02001629,S02001630,1,1887.0595915829479
53,55,S02001629,S02001631,1,567.2586858942925
53,57,S02001629,S02001633,1,2833.9519478856346
54,55,S02001630,S02001631,1,1525.163141525934
55,56,S02001631,S02001632,1,1003.5837059359942
55,57,S02001631,S02001633,1,710.5050535455208
56,57,S02001632,S02001633,1,1302.9197785133945
56,58,S02001632,S02001634,1,427.0316147546924
56,60,S02001632,S02001636,1,2269.8508531182188
56,64,S02001632,S02001640,1,165.43717435626834
57,58,S02001633,S02001634,1,732.8864385546728
57,59,S02001633,S02001635,1,561.8609541508323
58,59,S02001634,S02001635,1,1985.4116530736442
58,60,S02001634,S02001636,1,1194.3016564426196
59,61,S02001635,S02001637,1,659.3582570675098
60,61,S02001636,S02001637,1,1616.8696337090473
60,62,S02001636,S02001638,1,339.7371538323644
60,64,S02001636,S02001640,1,1218.704895697545
61,62,S02001637,S02001638,1,1184.5928531952252
62,63,S02001638,S02001639,1,996.3558622516448
62,64,S02001638,S02001640,1,98.48857801796105
62,69,S02001638,S02001645,1,220.36838207871142
63,64,S02001639,S02001640,1,1083.2367594573946
63,68,S02001639,S02001644,1,1497.5461441308883
63,69,S02001639,S02001645,1,17.08800749063506
64,65,S02001640,S02001641,1,1717.3658288013332
64,66,S02001640,S02001642,1,1962.4348615356257
64,68,S02001640,S02001644,1,462.24921362969064
65,66,S02001641,S02001642,1,398.53804934470736
65,67,S02001641,S02001643,1,221.55888127765076
65,73,S02001641,S02001649,1,432.89512362228834
65,74,S02001641,S02001650,1,1698.8653705232584
66,67,S02001642,S02001643,1,1316.7847366023382
66,68,S02001642,S02001644,1,773.4425353161614
67,68,S02001643,S02001644,1,560.8264104587183
67,72,S02001643,S02001648,1,1480.0631822718105
67,73,S02001643,S02001649,1,575.306000105418
68,69,S02001644,S02001645,1,1071.0019001807243
68,70,S02001644,S02001646,1,79.83746847092203
68,72,S02001644,S02001648,1,261.7173147205453
69,70,S02001645,S02001646,1,749.4269550756397
69,71,S02001645,S02001647,1,463.4231259794398
70,71,S02001646,S02001647,1,649.7817792326709
70,72,S02001646,S02001648,1,248.0918668825082
