site_id,site_name,site_type,easting,northing,iz_code,iz_easting,iz_northing,suitability,coord_source,DispCode,DispLocationName,DispLocationAddress1,DispLocationAddress2,DispLocationAddress3,DispLocationAddress4,DispLocationPostcode,DispLocationTelNo,hb2019,hscp2019,datazone2011,datazone2001,DataZone,IntZone,pc_easting,pc_northing
PH_1030,A G BANNERMAN LTD,pharmacy,259107.0,667872.0,S02001924,259797.0,667399.0,confirmed,Postcode_centroid,1030,A G BANNERMAN LTD,220/222 SARACEN STREET,GLASGOW,,,G22 5ER,0141 336 8114,S08000031,S37000034,S01010224,S01003567,S01010224,S02001924,259107.0,667872.0
PH_1036,ASDA STORES LIMITED,pharmacy,263356.92,668621.63,S02001918,263549.0,668792.0,confirmed,OSM_exact_building,1036,ASDA STORES LIMITED,PHARMACY DEPARTMENT,MONUMENT DRIVE,GLASGOW,,G33 1AD,0141 557 6210,S08000031,S37000034,S01010188,S01003613,S01010188,S02001918,263510.0,668509.0
PH_1039,LLOYDS PHARMACY LTD,pharmacy,260671.0,663998.0,S02001892,260657.0,663965.0,confirmed,Postcode_centroid,1039,LLOYDS PHARMACY LTD,26 BRIDGETON CROSS,GLASGOW,,,G40 1BW,0141554 2643,S08000031,S37000034,S01010043,S01003270,S01010043,S02001892,260671.0,663998.0
PH_1041,LLOYDS PHARMACY LTD,pharmacy,259404.0,659747.0,S02001879,259136.0,659979.0,confirmed,Postcode_centroid,1041,LLOYDS PHARMACY LTD,426 CARMUNNOCK ROAD,GLASGOW,,,G44 5EH,0141637 0377,S08000031,S37000034,S01009968,S01003067,S01009968,S02001879,259404.0,659747.0
PH_1044,LLOYDS PHARMACY LTD,pharmacy,267316.0,665956.0,S02001907,266950.0,665434.0,confirmed,Postcode_centroid,1044,LLOYDS PHARMACY LTD,UNIT 38 SHANDWICK SQUARE,EASTERHOUSE,GLASGOW,,G34 9DT,0141773 0600,S08000031,S37000034,S01010122,S01003420,S01010122,S02001907,267316.0,665956.0
PH_1045,LLOYDS PHARMACY LTD,pharmacy,,,S02001970,255162.0,668855.0,confirmed,Postcode_centroid,1045,LLOYDS PHARMACY LTD,1600 GREAT WESTERN ROAD,ANNIESLAND,GLASGOW,,G13 1HF,0141 959 0353,S08000031,S37000034,S01010469,S01003635,S01010469,S02001970,,
PH_1050,BOOTS UK LIMITED,pharmacy,256628.41,667131.63,S02001957,256376.0,667537.0,confirmed,OSM_exact_building,1050,BOOTS UK LIMITED,277 BYRES ROAD,GLASGOW,,,G12 8TL,0141 339 1954,S08000031,S37000034,S01010407,S01003514,S01010407,S02001957,256624.0,667131.0
PH_1056,BOOTS UK LIMITED,pharmacy,255669.6,666605.38,S02001955,255271.0,666804.0,confirmed,OSM_exact_building,1056,BOOTS UK LIMITED,368 DUMBARTON ROAD,GLASGOW,,,G11 6RZ,0141 339 4565,S08000031,S37000034,S01010396,S01003481,S01010396,S02001955,255647.0,666602.0
PH_1057,BOOTS UK LIMITED,pharmacy,259200.0,665700.0,S02001933,258607.0,666169.0,confirmed,Postcode_centroid,1057,BOOTS UK LIMITED,"UNIT 3, LEVEL 3",BUCHANAN GALLERIES,BUCHANAN STREET,GLASGOW,G1  2GF,0141 333 9306,S08000031,S37000034,S01010270,S01003439,S01010270,S02001933,259200.0,665700.0
PH_1059,A G BANNERMAN LTD,pharmacy,259064.0,667780.0,S02001940,258435.0,667834.0,confirmed,Postcode_centroid,1059,A G BANNERMAN LTD,171-173 SARACEN STREET,GLASGOW,,,G22 5JL,0141 336 8075,S08000031,S37000034,S01010311,S01003564,S01010311,S02001940,259064.0,667780.0
PH_1064,BOOTS UK LIMITED,pharmacy,257045.99,661840.23,S02001870,257163.0,662184.0,confirmed,OSM_exact_building,1064,BOOTS UK LIMITED,UNIT A SHAWLANDS ARCADE,92 KILMARNOCK ROAD,GLASGOW,,G41 3NN,0141 632 0924,S08000031,S37000034,S01009919,S01003157,S01009919,S02001870,257032.0,661823.0
PH_1066,BOOTS UK LIMITED,pharmacy,252670.0,663893.0,S02001852,252456.0,663761.0,confirmed,Postcode_centroid,1066,BOOTS UK LIMITED,2119 PAISLEY ROAD WEST,GLASGOW,,,G52 3JL,0141 882 1063,S08000031,S37000034,S01009819,S01003282,S01009819,S02001852,252670.0,663893.0
PH_1068,BOOTS UK LIMITED,pharmacy,258692.43,665854.6,S02001933,258607.0,666169.0,confirmed,OSM_exact_building,1068,BOOTS UK LIMITED,200 SAUCHIEHALL STREET,GLASGOW,,,G2  3EN,0141 332 8405,S08000031,S37000034,S01010271,S01003410,S01010271,S02001933,258589.0,665897.0
PH_1076,BOOTS UK LIMITED,pharmacy,258238.02,662652.45,S02001868,257906.0,662506.0,confirmed,OSM_exact_building,1076,BOOTS UK LIMITED,415-417 VICTORIA ROAD,GLASGOW,,,G42 8RW,0141 423 1065,S08000031,S37000034,S01009906,S01003183,S01009906,S02001868,258265.0,662628.0
PH_1078,MR G & MRS E BOYLE,pharmacy,260677.0,666379.0,S02001926,260852.0,666115.0,confirmed,Postcode_centroid,1078,MR G & MRS E BOYLE,119 ROYSTON ROAD,GLASGOW,,,G21 2QN,0141 552 4116,S08000031,S37000034,S01010230,S01003457,S01010230,S02001926,260677.0,666379.0
PH_1095,CAROL ANN BURNS,pharmacy,262017.57,663647.02,S02001894,262364.0,663850.0,confirmed,OSM_exact_building,1095,CAROL ANN BURNS,DALMARNOCK COMMUNITY HUB,303 SPRINGFIELD ROAD UNIT 3,DALMARNOCK,GLASGOW,G40 3LJ,0141 554 6116,S08000031,S37000034,S01010050,S01003253,S01010050,S02001894,262011.0,663639.0
