site_id,site_name,site_type,easting,northing,iz_code,iz_easting,iz_northing,suitability,coord_source,PracticeCode,GPPracticeName,PracticeListSize,AddressLine1,AddressLine2,AddressLine3,AddressLine4,Postcode,TelephoneNumber,PracticeType,Dispensing,HB,HSCP,DataZone_x,GPCluster,DataZone_y,IntZone,pc_easting,pc_northing,DispCode,DispLocationName,DispLocationAddress1,DispLocationAddress2,DispLocationAddress3,DispLocationAddress4,DispLocationPostcode,DispLocationTelNo,hb2019,hscp2019,datazone2011,datazone2001,DataZone,capacity,parking,fee,access,operator,surface,park_and_ride
GP_40008,Fulton Street Medical Centre,gp,254589.32,669326.72,S02001971,254637.0,669245.0,confirmed,OSM_exact_building,40008.0,Fulton Street Medical Centre,6210.0,Fulton Street Medical Centre,Fulton Street Surgery,94 Fulton Street,Glasgow,G13 1JE,0141 959  3391,17J,N,S08000031,S37000034,S01010475,NW - Great Western,S01010475,S02001971,254587.0,669325.0,,,,,,,,,,,,,,,,,,,,
GP_40012,BuckinghamTerraceMedicalPractice,gp,256891.76,667336.6,S02001952,256853.0,667062.0,confirmed,OSM_exact_building,40012.0,BuckinghamTerraceMedicalPractice,8929.0,Buckingham Terrace Medical Practice,31 Buckingham Terrace,Glasgow,,G12 8ED,0141 211  6210,17J,N,S08000031,S37000034,S01010375,NW - Hyndland and West End,S01010375,S02001952,256927.0,667321.0,,,,,,,,,,,,,,,,,,,,
GP_40031,Drs Reid & MacLaren Partnership,gp,256845.0,666105.0,S02001936,256903.0,666035.0,confirmed,Postcode_centroid,40031.0,Drs Reid & MacLaren Partnership,4615.0,Drs Reid & MacLaren Partnership,3 Radnor Street,Glasgow,,G3 7UA,0141 334  6111,17J,N,S08000031,S37000034,S01010287,NW - A,S01010287,S02001936,256845.0,666105.0,,,,,,,,,,,,,,,,,,,,
GP_40051,Anniesland Medical Practice,gp,254215.43,668989.43,S02001971,254637.0,669245.0,confirmed,OSM_exact_building,40051.0,Anniesland Medical Practice,8942.0,Anniesland Medical Practice,46 Munro Place,Glasgow,,G13 2UP,0141 954  8860,17J,N,S08000031,S37000034,S01010476,NW - Great Western,S01010476,S02001971,254264.0,668957.0,,,,,,,,,,,,,,,,,,,,
GP_40070,Abingdon Medical Practice,gp,255888.0,666613.0,S02001953,255880.0,666698.0,confirmed,Postcode_centroid,40070.0,Abingdon Medical Practice,3829.0,Abingdon Medical Practice,12 Stewartville Street,Glasgow,,G11 5PE,0141 339  0902,17J,N,S08000031,S37000034,S01010386,NW - A,S01010386,S02001953,255888.0,666613.0,,,,,,,,,,,,,,,,,,,,
GP_40084,Pennan Practice,gp,252352.56,668362.16,S02001963,252494.0,667904.0,confirmed,OSM_exact_building,40084.0,Pennan Practice,2474.0,Pennan Practice,20 Pennan Place,Glasgow,,G14 0EA,0141 959  1704,17C,N,S08000031,S37000034,S01010435,NW - Dumbarton Road Corridor,S01010435,S02001963,252345.0,668332.0,,,,,,,,,,,,,,,,,,,,
GP_40121,The Broomhill Practice,gp,254725.0,666812.0,S02001959,254765.0,667238.0,confirmed,Postcode_centroid,40121.0,The Broomhill Practice,7020.0,The Broomhill Practice,41 Broomhill Drive,Glasgow,,G11 7AD,0141 339  3626,17J,N,S08000031,S37000034,S01010415,NW - Great Western,S01010415,S02001959,254725.0,666812.0,,,,,,,,,,,,,,,,,,,,
GP_40140,Northcote Surgery,gp,256188.25,667516.23,S02001957,256376.0,667537.0,confirmed,OSM_exact_building,40140.0,Northcote Surgery,12989.0,Northcote Surgery,2 Victoria Circus,Glasgow,,G12 9LD,0141 339  3211,17J,N,S08000031,S37000034,S01010404,NW - Hyndland and West End,S01010404,S02001957,256154.0,667494.0,,,,,,,,,,,,,,,,,,,,
GP_40154,Queens Crescent Surgery,gp,258021.4,666560.02,S02001937,257742.0,666481.0,confirmed,OSM_exact_building,40154.0,Queens Crescent Surgery,8139.0,Queens Crescent Surgery,10 Queen's Crescent,Glasgow,,G4 9BL,0141 332  3526,17J,N,S08000031,S37000034,S01010295,NW - Hyndland and West End,S01010295,S02001937,257991.0,666565.0,,,,,,,,,,,,,,,,,,,,
GP_40188,Dr I. Cullen,gp,255798.0,667350.0,S02001956,255678.0,667378.0,confirmed,Postcode_centroid,40188.0,Dr I. Cullen,2741.0,Dr I. Cullen,130 Hyndland Road,Glasgow,,G12 9PN,0141 339  1298,17C,N,S08000031,S37000034,S01010402,NW - Hyndland and West End,S01010402,S02001956,255798.0,667350.0,,,,,,,,,,,,,,,,,,,,
GP_40192,Gardner Street Surgery,gp,255830.53,666626.08,S02001955,255271.0,666804.0,confirmed,OSM_exact_building,40192.0,Gardner Street Surgery,3121.0,Gardner Street Surgery,The Surgery,16 Gardner Street,Glasgow,G11 5NG,0141 334  2215,17J,N,S08000031,S37000034,S01010396,NW - A,S01010396,S02001955,255835.0,666631.0,,,,,,,,,,,,,,,,,,,,
GP_40210,Shaftesbury Medical Practice,gp,253715.0,667081.0,S02001961,253420.0,667210.0,confirmed,Postcode_centroid,40210.0,Shaftesbury Medical Practice,1374.0,Shaftesbury Medical Practice,1265 - 1275 Dumbarton Road,Glasgow,,G14 9UU,0141 959  5500,17J,N,S08000031,S37000034,S01010425,NW - Dumbarton Road Corridor,S01010425,S02001961,253715.0,667081.0,,,,,,,,,,,,,,,,,,,,
GP_40277,"Drs McAlpine, Walker & Pettigrew",gp,255265.0,666645.0,S02001954,255121.0,666722.0,confirmed,Postcode_centroid,40277.0,"Drs McAlpine, Walker & Pettigrew",4343.0,"Drs McAlpine, Walker & Pettigrew",14 Apsley Street,Glasgow,,G11 7SY,0141 339  2960,17J,N,S08000031,S37000034,S01010388,NW - A,S01010388,S02001954,255265.0,666645.0,,,,,,,,,,,,,,,,,,,,
