station_id,fclass,mode,snap_ok,snap_status,snap_distance_m,snap_node_index,snap_x,snap_y,Easting,Northing
21559341,railway_station,road,True,ok,24.948073675897103,15336,318394.12,671298.35,318396.0763819301,671273.4787525467
21568010,railway_station,road,True,ok,47.71860525670827,45089,331952.61,671686.13,331957.54154254124,671638.6669072246
27453533,railway_station,road,True,ok,26.015666788188643,15956,318934.87,672232.37,318927.1896426468,672257.2261265961
1974988736,railway_station,road,True,ok,29.942498167387317,43916,331987.69,669945.23,331958.65858480165,669937.8999162293
2958271254,railway_station,road,True,ok,39.99041010164783,5904,317630.16,668312.16,317660.9920739098,668286.6920570419
3182697213,railway_station,road,True,ok,21.523162212997686,31786,313927.31,677884.92,313907.11308496003,677892.3584900696
3182697217,railway_station,road,True,ok,26.43504760207404,32490,313168.28,680811.02,313145.451550947,680824.3494281782
3727341273,railway_station,road,True,ok,21.36458865734864,10277,310444.79,667148.59,310437.70816667273,667128.4332818836
4305266448,railway_station,road,True,ok,14.566594505991727,8481,321032.94,670262.41,321047.02175700385,670258.6830984469
4305266450,railway_station,road,True,ok,37.79272753268341,14091,322418.81,671099.89,322381.76590252115,671092.4050085947
4305266451,railway_station,road,True,ok,20.21713701694611,8147,319849.02,669755.61,319852.5515864889,669775.5162936287
5240090773,railway_station,road,True,ok,29.566665135554725,46745,331313.62,672672.04,331336.3117077905,672653.0854732376
5353113956,railway_station,road,True,ok,55.37351215411917,21173,317584.4,672781.66,317639.35914958466,672774.8985116124
6451802275,railway_station,road,True,ok,30.135037381112717,22923,323952.08,673159.78,323941.04580998246,673131.7377617046
7149998196,railway_station,road,True,ok,28.236614786904763,25175,325784.0,673829.96,325762.172161761,673847.8723391112
7209253488,railway_station,road,True,ok,67.02870899380802,45391,333075.27,671738.81,333094.40966582485,671674.5719970618
10075163239,railway_station,road,True,ok,17.37273300919444,11088,308473.58,670233.71,308488.5865367675,670242.4630398408
10075163240,railway_station,road,True,ok,30.595334241766693,11091,308275.66,670263.85,308290.5738280945,670290.5642697623
10075163241,railway_station,road,True,ok,25.164454796921834,11091,308275.66,670263.85,308288.8952266287,670242.4472300551
21559341,railway_station,walking,True,ok,7.0850237994463106,28482,318395.29,671280.52,318396.0763819301,671273.4787525467
21568010,railway_station,walking,True,ok,8.002463898472055,82801,331949.64,671637.4,331957.54154254124,671638.6669072246
27453533,railway_station,walking,True,ok,10.848010535174117,27659,318928.52,672246.46,318927.1896426468,672257.2261265961
1974988736,railway_station,walking,True,ok,11.874853719782774,80442,331955.04,669949.21,331958.65858480165,669937.8999162293
2958271254,railway_station,walking,True,ok,33.60428960018871,91944,317631.41,668270.75,317660.9920739098,668286.6920570419
3182697213,railway_station,walking,True,ok,13.369268032871812,58638,313897.51,677901.66,313907.11308496003,677892.3584900696
3182697217,railway_station,walking,True,ok,15.843045283752048,59798,313157.6,680814.18,313145.451550947,680824.3494281782
3727341273,railway_station,walking,True,ok,11.729533392616055,2612,310435.8,667116.86,310437.70816667273,667128.4332818836
