city,update_id,forecast_start,forecast_end,alpha_geo,alpha_transport,alpha_mobility
Edinburgh,U10,2023-02-07,2023-02-18,0.3181,0.3234,0.3585
Glasgow,U10,2023-02-03,2023-02-18,0.2874,0.3038,0.4088
